dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,,80.32,100.0,151.18,138.62,136.13,136.13,136.69,136.47,149.24,128.64,123.1,124.17,132.67,143.55
