Năm,Vùng,Chung,Nam,Nữ
2010,geoId-VNM,2.91,2.42,3.45
2010,geoId-RRD,2.64,2.35,2.96
2010,geoId-NT,1.23,1.23,1.24
2010,geoId-SCC,2.97,2.72,3.25
2010,geoId-TNN,2.16,1.57,2.83
2010,geoId-ST,3.95,3.37,4.62
2010,geoId-MRD,3.63,2.43,5.16
2011,geoId-VNM,2.22,1.77,2.74
2011,geoId-RRD,2.0,1.86,2.16
2011,geoId-NT,0.87,0.87,0.88
2011,geoId-SCC,2.29,2.02,2.59
2011,geoId-TNN,1.32,0.88,1.8
2011,geoId-ST,3.21,2.52,4.04
2011,geoId-MRD,2.79,1.66,4.21
2012,geoId-VNM,1.95,1.66,2.29
2012,geoId-RRD,1.89,1.92,1.85
2012,geoId-NT,0.75,0.78,0.72
2012,geoId-SCC,2.21,2.01,2.43
2012,geoId-TNN,1.46,1.05,1.91
2012,geoId-ST,2.64,2.3,3.05
2012,geoId-MRD,2.15,1.25,3.3
2013,geoId-VNM,2.17,2.13,2.22
2013,geoId-RRD,2.64,3.17,2.05
2013,geoId-NT,0.81,0.89,0.73
2013,geoId-SCC,2.15,1.96,2.35
2013,geoId-TNN,1.51,1.02,2.06
2013,geoId-ST,2.7,2.87,2.48
2013,geoId-MRD,2.4,1.7,3.29
2014,geoId-VNM,2.1,2.1,2.1
2014,geoId-RRD,2.83,3.4,2.21
2014,geoId-NT,0.77,0.86,0.66
2014,geoId-SCC,2.22,2.01,2.46
2014,geoId-TNN,1.2,0.92,1.53
2014,geoId-ST,2.47,2.65,2.25
2014,geoId-MRD,2.05,1.5,2.76
2015,geoId-VNM,2.34,2.4,2.26
2015,geoId-RRD,2.42,2.85,1.95
2015,geoId-NT,1.11,1.27,0.94
2015,geoId-SCC,2.7,2.87,2.49
2015,geoId-TNN,1.03,0.87,1.21
2015,geoId-ST,2.77,2.74,2.8
2015,geoId-MRD,2.77,2.37,3.3
2016,geoId-VNM,2.29,2.36,2.19
2016,geoId-RRD,2.22,2.57,1.82
2016,geoId-NT,1.18,1.25,1.09
2016,geoId-SCC,2.74,2.96,2.5
2016,geoId-TNN,1.23,0.99,1.52
2016,geoId-ST,2.46,2.76,2.09
2016,geoId-MRD,2.89,2.37,3.58
2017,geoId-VNM,2.22,2.35,2.08
2017,geoId-RRD,2.15,2.55,1.7
2017,geoId-NT,1.02,1.22,0.78
2017,geoId-SCC,2.52,2.55,2.48
2017,geoId-TNN,1.05,0.83,1.3
2017,geoId-ST,2.68,2.94,2.36
2017,geoId-MRD,2.85,2.62,3.16
2018,geoId-VNM,2.19,1.97,2.45
2018,geoId-RRD,1.97,2.02,1.91
2018,geoId-NT,1.05,0.92,1.2
2018,geoId-SCC,2.7,2.37,3.08
2018,geoId-TNN,1.05,0.56,1.63
2018,geoId-ST,2.63,2.66,2.59
2018,geoId-MRD,2.71,2.05,3.59
2019,geoId-VNM,2.17,2.09,2.26
2019,geoId-RRD,1.82,1.96,1.67
2019,geoId-NT,1.29,1.58,0.96
2019,geoId-SCC,2.47,2.48,2.46
2019,geoId-TNN,1.37,1.28,1.47
2019,geoId-ST,2.45,2.44,2.46
2019,geoId-MRD,2.9,2.09,4.03
2020,geoId-VNM,2.48,2.01,3.05
2020,geoId-RRD,2.05,1.85,2.27
2020,geoId-NT,1.06,0.96,1.17
2020,geoId-SCC,3.16,2.65,3.77
2020,geoId-TNN,1.66,1.14,2.27
2020,geoId-ST,3.23,2.56,4.04
2020,geoId-MRD,2.82,1.98,4.03
2021,geoId-VNM,3.2,3.15,3.26
2021,geoId-RRD,2.18,2.41,1.91
2021,geoId-NT,2.42,2.67,2.12
2021,geoId-SCC,3.3,3.21,3.41
2021,geoId-TNN,0.96,0.71,1.26
2021,geoId-ST,4.66,4.52,4.84
2021,geoId-MRD,4.05,3.63,4.68
2022,geoId-VNM,2.34,2.36,2.32
2022,geoId-RRD,1.93,2.05,1.79
2022,geoId-NT,2.1,2.39,1.76
2022,geoId-SCC,2.59,2.31,2.94
2022,geoId-TNN,0.67,0.51,0.85
2022,geoId-ST,2.88,3.09,2.62
2022,geoId-MRD,2.76,2.59,3.02
