dia phuong,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
geoId-VNM,2001,19.7,5.4,14.2
geoId-VNM,2002,19.6,6.3,13.3
geoId-VNM,2003,18.9,6.0,12.9
geoId-VNM,2004,19.9,5.8,14.1
geoId-VNM,2005,19.9,5.8,14.1
geoId-VNM,2006,18.2,5.5,12.7
geoId-VNM,2007,17.4,5.6,11.8
geoId-VNM,2008,17.3,5.5,11.8
geoId-VNM,2009,17.8,7.4,10.4
geoId-VNM,2010,17.36,7.34,10.1
geoId-VNM,2011,17.22,7.39,9.83
geoId-VNM,2012,17.4,7.5,9.9
geoId-VNM,2013,17.5,7.5,10.0
geoId-VNM,2014,17.48,7.24,10.3
geoId-VNM,2015,16.65,7.31,9.4
geoId-VNM,2016,16.18,7.17,9.01
geoId-VNM,2017,15.4,7.3,8.1
geoId-VNM,2018,15.18,7.62,7.56
geoId-VNM,2019,16.32,6.94,9.38
geoId-VNM,2020,16.6,6.7,9.9
geoId-VNM,2021,16.6,6.7,9.9
geoId-VNM,Sơ bộ 2022,15.77,6.81,8.96
