dia phuong,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
geoId-VNM,2001,18.6,5.1,13.5
geoId-VNM,2002,19.0,5.8,13.2
geoId-VNM,2003,17.5,5.8,11.7
geoId-VNM,2004,19.2,5.4,13.8
geoId-VNM,2005,18.6,5.3,13.3
geoId-VNM,2006,17.4,5.3,12.1
geoId-VNM,2007,16.9,5.3,11.6
geoId-VNM,2008,16.7,5.3,11.4
geoId-VNM,2009,17.6,6.8,10.8
geoId-VNM,2010,17.07,6.8,10.27
geoId-VNM,2011,16.63,6.9,9.73
geoId-VNM,2012,16.94,7.0,9.94
geoId-VNM,2013,17.05,7.11,9.93
geoId-VNM,2014,17.23,6.85,10.3
geoId-VNM,2015,16.2,6.81,9.39
geoId-VNM,2016,15.96,6.83,9.2
geoId-VNM,2017,14.9,6.84,8.1
geoId-VNM,2018,14.55,6.82,7.8
geoId-VNM,2019,16.28,6.32,9.95
geoId-VNM,2020,16.3,6.06,10.24
geoId-VNM,2021,15.74,6.38,9.3
geoId-VNM,Sơ bộ 2022,15.2,6.1,9.1
