dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,,,,,,,,,,,,
geoId-VNM,2010,112.33,114.69,112.24,110.06,109.04,109.34,109.28,110.48,114.01,116.13,120.45,117.96
geoId-VNM,2011,,,,,,,,,,,,
geoId-VNM,2011,115.55,113.95,117.49,122.74,126.54,128.02,127.88,127.87,126.88,126.11,122.82,118.98
geoId-VNM,2012,,,,,,,,,,,,
geoId-VNM,2012,116.16,113.97,110.19,105.71,103.31,102.17,101.54,100.64,99.47,98.59,95.53,94.34
geoId-VNM,2013,,,,,,,,,,,,
geoId-VNM,2013,94.61,95.35,95.95,96.76,96.61,96.77,97.94,99.05,99.11,99.64,100.88,101.98
geoId-VNM,2014,,,,,,,,,,,,
geoId-VNM,2014,103.18,103.5,103.97,104.6,104.79,104.99,104.65,104.39,104.32,103.59,102.39,101.3
geoId-VNM,2015,,,,,,,,,,,,
geoId-VNM,2015,100.0,99.45,99.35,99.3,99.35,99.16,99.41,98.8,98.22,97.86,98.05,98.35
geoId-VNM,2016,,,,,,,,,,,,
geoId-VNM,2016,98.79,99.31,99.78,101.21,102.36,102.75,102.48,102.29,102.7,102.9,102.8,102.57
geoId-VNM,2017,,,,,,,,,,,,
geoId-VNM,2017,102.57,102.15,102.08,101.11,100.37,100.09,100.66,101.33,101.31,101.86,102.78,103.12
geoId-VNM,2018,,,,,,,,,,,,
geoId-VNM,2018,103.11,104.33,104.54,104.5,104.6,104.67,103.78,103.56,103.71,103.28,102.41,102.01
geoId-VNM,2019,,,,,,,,,,,,
geoId-VNM,2019,102.06,101.15,100.24,99.72,99.32,99.44,100.41,100.62,100.64,100.54,100.53,100.82
geoId-VNM,2020,,,,,,,,,,,,
geoId-VNM,2020,101.1,100.88,102.55,105.1,105.41,105.34,105.08,105.38,105.62,105.74,106.08,106.07
geoId-VNM,2021,106.1,107.64,106.49,104.29,104.28,104.41,105.0,105.09,104.66,104.31,103.94,103.86
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,103.1,101.66,101.82,102.05,102.42,102.87,102.82,102.31,102.1,102.41,102.79,102.91
geoId-VNM,2022,,,,,,,,,,,,
