dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,104.91,105.14,105.2,105.38,105.25,105.06,105.08,105.17,105.13,105.41,105.95,106.6
geoId-VNM,2011,106.8,106.49,107.37,108.37,108.99,109.25,109.49,109.64,109.82,110.1,109.95,109.76
geoId-VNM,2012,109.96,109.71,108.99,108.07,107.64,107.37,107.14,106.97,106.76,106.3,106.25,106.16
geoId-VNM,2013,105.71,105.91,105.58,105.42,105.2,105.06,104.92,104.78,104.7,104.63,104.3,103.95
geoId-VNM,2014,103.79,103.4,103.33,103.19,103.07,102.94,102.81,102.67,102.65,102.63,102.55,102.48
geoId-VNM,2015,102.26,102.35,102.28,102.2,102.08,102.0,102.01,102.03,101.89,101.78,101.81,101.53
geoId-VNM,2016,101.51,101.39,101.29,101.22,101.18,101.12,101.04,100.98,101.02,100.93,100.84,101.02
geoId-VNM,2017,101.06,100.91,100.98,100.98,100.99,101.02,101.05,101.03,100.98,101.05,101.05,101.08
geoId-VNM,2018,101.05,101.27,101.23,101.23,101.22,101.17,101.18,101.25,101.32,101.32,101.32,101.36
geoId-VNM,2019,101.35,101.35,101.29,101.31,101.32,101.44,101.42,101.36,101.36,101.34,101.36,101.34
geoId-VNM,2020,101.45,101.27,101.39,101.35,101.29,101.22,101.21,101.16,100.97,100.88,100.81,100.67
geoId-VNM,2021,100.48,100.61,100.47,100.51,100.55,100.58,100.57,100.57,100.72,100.78,100.95,101.12
geoId-VNM,2022,101.22,101.2,101.44,101.65,101.78,101.99,102.25,102.47,102.54,102.6,102.61,102.66
