"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HGG,,,,,,,,,,47.1,48.6,46.8,45.7,50.3,52.0,51.7,53.1,55.1,56.2,58.7,62.4,60.9,61.0,64.0,64.2,65.3,67.4,66.6
geoId-KHA,37.4,37.5,40.8,41.0,39.3,41.0,41.5,40.9,44.4,44.3,40.3,43.4,47.2,47.1,49.7,52.3,53.4,52.3,55.4,57.3,58.4,56.9,53.6,56.0,56.9,57.5,60.2,59.4
geoId-KGG,38.5,37.8,38.5,37.6,38.9,42.2,39.7,44.8,44.2,48.0,49.4,46.1,51.1,55.6,54.6,54.4,57.1,59.1,58.0,60.1,60.3,54.3,55.2,58.6,59.4,62.4,63.1,63.0
geoId-KTM,21.2,21.8,23.5,22.4,23.2,24.8,26.6,28.6,29.5,30.1,28.2,30.6,32.2,33.1,32.5,34.7,34.1,36.0,35.8,36.3,37.5,36.0,38.0,38.6,39.4,38.8,41.5,42.4
geoId-LCU,,,,,,,,,,29.2,30.4,32.6,33.1,34.2,37.1,38.5,40.5,41.5,41.7,42.0,43.0,43.4,44.3,44.8,45.5,45.5,47.1,48.0
geoId-LAN,31.2,31.8,33.1,35.0,34.5,34.7,36.9,40.1,41.8,43.9,45.1,40.8,45.5,47.7,46.6,48.9,52.7,53.3,53.4,55.1,55.8,53.1,50.2,54.8,54.8,56.3,57.2,56.2
geoId-LCI,24.9,27.1,26.9,28.4,29.3,31.0,33.2,34.7,37.1,39.9,41.4,42.2,44.0,41.8,44.1,42.6,46.6,47.2,48.2,48.2,48.9,50.1,49.2,51.5,52.6,53.3,54.0,54.9
geoId-LDG,26.8,31.6,30.5,30.2,31.0,31.2,35.9,30.3,37.1,39.3,38.4,31.7,42.4,44.6,45.1,42.0,46.1,49.0,48.2,49.4,49.0,48.5,50.0,52.2,52.2,52.4,54.1,54.2
geoId-LSN,28.3,29.0,32.6,33.1,32.8,30.7,36.5,37.3,39.3,38.8,40.2,38.8,40.5,39.0,38.9,40.0,34.3,40.3,41.0,42.0,42.3,43.6,41.6,42.0,42.1,43.0,43.0,44.4
geoId-NDH,48.2,49.6,54.8,57.5,58.8,58.1,58.7,59.9,58.0,61.3,49.4,61.3,59.7,59.3,56.1,59.9,58.8,59.4,58.9,60.5,60.6,60.4,55.7,59.8,60.4,60.7,60.7,61.1
