Vùng,2018,2019,2020,2021,Sơ bộ 2022
,1.59,1.6,2.51,2.94,2.13
geoId-RRD,0.87,0.86,1.36,1.42,0.86
geoId-NT,1.64,1.74,2.22,1.63,2.06
geoId-SCC,1.8,2.27,3.2,3.43,2.83
geoId-TNN,2.24,1.48,4.98,3.55,2.57
geoId-ST,0.52,0.55,1.58,3.92,1.52
geoId-MRD,3.11,2.99,3.65,3.96,3.72
