Vùng,2018,2019,2020,2021,Sơ bộ 2022
,1.64,1.42,2.52,3.23,2.28
geoId-RRD,0.82,0.73,1.37,1.58,1.0
geoId-NT,1.64,1.8,2.44,2.15,2.28
geoId-SCC,1.8,1.7,2.92,3.85,3.22
geoId-TNN,2.37,1.62,5.38,3.58,3.03
geoId-ST,0.54,0.41,1.65,3.63,1.29
geoId-MRD,3.21,2.63,3.35,4.57,3.53
