Địa phương,Năm,Số người nhiễm HIV/AIDS - Phát hiện mới năm 2021,Số người nhiễm HIV/AIDS còn sống - Lũy kế đến 31/12,Số người hiện nhiễm HIV/AIDS được phát hiện trên 100.000 dân - Lũy kế đến 31/12,Số người nhiễm HIV/AIDS - Phát hiện mới năm 2022
geoId-YBI,2022,,2252.0,265.8,63.0
geoId-DBN,2021,111.0,3663.0,586.0,
geoId-DBN,2022,,3334.0,525.9,94.0
geoId-DNG,2021,161.0,1093.0,91.4,
geoId-DNG,2022,,1259.0,103.2,111.0
geoId-ST,2021,5254.0,67693.0,369.6,
geoId-ST,2022,,61558.0,327.2,2447.0
geoId-DLK,2021,100.0,1351.0,70.8,
geoId-DLK,2022,,1987.0,103.6,135.0
geoId-DNG1,2021,13.0,444.0,66.8,
geoId-DNG1,2022,,507.0,75.6,34.0
geoId-MRD,2021,3893.0,40989.0,235.3,
geoId-MRD,2022,,57206.0,328.2,4832.0
geoId-RRD,2021,1793.0,48020.0,206.8,
geoId-RRD,2022,,37057.0,158.0,936.0
geoId-DNI,2021,387.0,5199.0,164.1,
geoId-DNI,2022,,7640.0,234.7,348.0
geoId-DTP,2021,142.0,4514.0,281.9,
geoId-DTP,2022,,6866.0,429.1,487.0
