dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,100.1,101.0,99.1,99.9,99.9,100.0,100.0,100.1,100.0,101.0,100.6,100.0
geoId-VNM,2003,100.4,101.3,100.7,99.8,99.8,99.9,99.9,99.9,100.0,96.7,99.5,100.2
geoId-VNM,2004,100.0,100.7,99.9,100.1,100.2,100.0,103.1,100.0,100.1,100.1,101.2,100.4
geoId-VNM,2005,100.3,100.8,99.7,101.5,100.4,100.1,102.0,100.9,103.8,100.3,100.2,98.9
geoId-VNM,2006,100.1,100.8,99.4,100.1,102.9,100.1,100.2,100.9,101.7,98.2,99.5,100.1
geoId-VNM,2007,100.05,100.07,100.57,101.05,100.57,100.91,100.16,100.15,99.16,100.04,100.02,104.38
geoId-VNM,2008,99.97,101.51,105.76,102.33,100.34,100.35,100.55,109.07,99.52,99.06,95.6,93.23
geoId-VNM,2009,96.49,99.95,99.45,100.48,101.8,101.35,103.05,101.31,102.37,100.77,100.31,101.86
geoId-VNM,2010,,,,,,,,,,,,
geoId-VNM,2011,,,,,,,,,,,,
geoId-VNM,2012,,,,,,,,,,,,
geoId-VNM,2013,,,,,,,,,,,,
geoId-VNM,2014,,,,,,,,,,,,
geoId-VNM,2015,,,,,,,,,,,,
geoId-VNM,2016,,,,,,,,,,,,
geoId-VNM,2017,,,,,,,,,,,,
geoId-VNM,2018,,,,,,,,,,,,
geoId-VNM,2019,,,,,,,,,,,,
geoId-VNM,2020,,,,,,,,,,,,
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
