dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,101.9,104.0,98.9,100.0,100.7,100.2,99.6,100.0,100.3,99.8,100.0,100.3
geoId-VNM,2003,101.3,103.4,98.1,99.7,99.7,99.5,99.5,99.8,99.9,100.0,100.9,101.1
geoId-VNM,2004,101.6,105.1,101.6,100.9,101.8,101.5,100.4,100.7,100.4,99.8,100.0,100.7
geoId-VNM,2005,101.7,104.1,100.2,100.5,100.6,100.5,100.0,100.3,100.4,100.4,100.5,101.4
geoId-VNM,2006,101.7,103.2,99.1,100.2,100.2,100.4,100.4,100.2,99.8,100.5,101.2,100.7
geoId-VNM,2007,101.13,103.45,99.58,100.44,101.04,101.02,101.59,100.88,101.02,101.09,102.06,104.24
geoId-VNM,2008,103.76,106.18,103.88,103.11,107.25,103.29,100.99,100.5,100.0,99.58,99.93,99.87
geoId-VNM,2009,100.39,101.67,99.54,100.43,100.18,100.28,99.95,99.92,100.05,100.32,100.87,102.06
geoId-VNM,2010,102.11,103.09,101.03,99.37,99.88,100.37,100.21,100.27,100.79,101.32,103.45,103.31
geoId-VNM,2011,102.47,103.65,101.98,104.5,103.01,101.79,102.12,101.35,100.28,100.06,100.56,100.69
geoId-VNM,2012,101.01,102.11,99.17,99.2,99.86,99.77,99.53,99.82,100.08,100.29,99.92,100.28
geoId-VNM,2013,101.34,102.28,99.47,99.09,99.65,99.92,100.1,100.54,100.65,100.86,100.62,100.49
geoId-VNM,2014,100.77,101.15,99.04,100.15,100.17,100.28,100.26,100.45,100.22,100.05,99.97,100.08
geoId-VNM,2015,100.28,100.53,100.36,99.58,99.78,99.97,100.1,100.1,99.87,100.19,100.05,100.16
geoId-VNM,2016,100.25,101.98,99.52,100.0,100.36,100.21,99.95,99.86,100.09,100.17,100.49,99.97
geoId-VNM,2017,99.76,100.11,99.13,99.34,98.57,99.41,100.54,101.06,100.08,100.31,100.11,99.77
geoId-VNM,2018,100.44,101.53,99.38,99.82,100.88,101.08,100.43,100.87,100.44,100.22,99.86,100.05
geoId-VNM,2019,100.66,101.73,98.58,99.43,100.05,100.12,100.33,100.24,100.56,101.04,102.74,103.42
geoId-VNM,2020,102.29,100.26,99.57,100.66,100.34,100.44,99.82,100.11,99.69,99.87,100.05,99.59
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
