"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-KHA,9.7,10.2,10.8,11.1,12.3,11.4,11.8,12.8,11.5,10.7,11.2,11.2,10.3,8.5,8.2,7.3,7.0,8.1,7.5,7.9,5.4,6.8,9.0,8.3,7.4,6.9,7.3,5.5
geoId-KGG,103.3,93.7,95.5,96.8,82.9,41.5,32.6,28.3,19.4,33.1,45.2,44.6,51.2,60.0,62.2,62.2,54.4,64.4,65.9,62.4,63.0,60.1,47.4,58.6,64.1,62.6,58.4,67.3
geoId-KTM,16.2,15.5,15.8,15.3,15.7,16.9,16.5,15.7,15.6,16.5,17.1,16.8,16.7,16.6,16.8,15.9,16.0,16.4,16.3,16.4,16.8,16.8,16.9,16.6,16.6,16.2,16.2,15.6
geoId-LCU,41.9,42.5,39.9,40.4,43.4,45.2,47.3,47.7,47.5,24.2,25.8,25.4,25.2,25.4,24.8,24.9,23.8,23.1,24.2,24.2,24.5,25.0,26.2,25.4,26.1,25.9,25.5,25.1
geoId-LAN,49.7,43.2,38.0,32.3,32.4,26.0,24.2,22.5,22.1,21.7,18.9,15.5,15.4,15.3,13.3,12.3,10.0,10.1,8.8,8.8,5.1,2.3,2.2,2.2,2.1,1.8,1.7,1.6
geoId-LCI,26.4,25.4,25.1,25.6,27.4,27.7,27.5,26.4,26.9,19.6,20.0,19.5,19.5,19.5,20.1,20.6,20.9,20.8,20.7,20.9,20.7,21.5,22.2,23.5,23.5,23.9,23.9,23.6
geoId-LDG,25.1,16.0,16.6,19.5,18.8,19.0,18.6,18.8,20.0,20.0,19.2,18.0,17.8,16.8,16.9,17.1,16.9,16.1,15.7,15.2,15.0,14.7,14.3,13.4,12.9,12.6,12.1,11.8
geoId-LSN,34.6,35.3,35.2,34.0,33.9,34.1,34.6,34.4,34.1,34.3,34.0,34.0,33.9,34.1,34.1,34.2,34.1,34.2,34.7,34.6,34.4,33.9,33.8,33.3,33.0,32.5,32.2,32.5
geoId-NDH,82.6,82.0,83.4,83.7,83.8,83.8,83.2,82.8,82.1,81.1,80.0,79.7,79.1,79.8,80.3,80.9,80.3,79.6,78.9,78.6,78.3,77.3,76.6,75.2,73.5,72.9,73.1,72.0
geoId-NAN,64.3,64.0,59.4,54.6,55.2,53.4,51.8,49.8,46.0,41.5,41.0,38.4,37.5,41.7,32.5,37.7,43.3,38.0,35.6,38.4,39.3,39.9,37.0,35.0,29.0,28.9,25.9,21.4
geoId-NBH,39.4,26.1,39.3,39.7,40.2,40.6,40.5,40.1,39.7,39.4,38.6,38.5,38.2,39.3,39.8,39.5,39.2,39.3,39.0,38.6,37.6,37.1,36.6,35.0,33.0,31.7,31.8,31.4
geoId-NTN,12.2,11.6,11.1,11.1,12.8,11.9,11.8,11.2,11.7,11.9,6.8,11.5,12.1,13.0,12.3,13.6,10.2,12.7,14.9,14.0,12.9,14.2,14.7,11.5,12.5,9.6,12.2,11.9
geoId-PTO,34.4,31.7,32.6,34.0,34.9,35.3,34.3,35.1,35.2,35.6,35.3,33.5,34.8,32.8,34.4,33.3,33.9,32.5,33.1,32.6,32.2,30.6,30.1,27.5,25.2,25.0,24.1,23.5
geoId-PYN,14.5,12.5,10.4,14.8,12.2,10.2,10.8,10.4,10.2,10.1,10.3,9.0,7.7,7.4,7.0,6.6,6.6,6.3,5.9,5.7,5.8,5.8,5.2,4.9,4.1,4.2,4.0,3.8
geoId-QBH,6.6,6.0,5.6,4.4,4.5,3.0,2.3,2.1,1.5,1.4,0.7,0.9,1.0,0.9,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.4
geoId-QNM,44.7,44.9,46.2,44.7,45.7,45.1,45.8,45.2,44.4,44.1,43.1,42.8,43.7,45.1,44.7,43.0,44.8,45.3,44.8,43.8,45.0,43.7,44.1,43.7,42.7,41.6,41.1,41.6
geoId-QNI,28.9,31.3,31.3,29.7,30.7,28.0,20.2,20.9,18.4,11.2,10.4,10.6,10.2,6.1,4.2,4.0,3.6,2.7,2.0,2.3,2.6,2.4,2.4,2.2,1.8,1.9,1.1,1.2
geoId-QNH,28.0,29.1,29.5,29.5,30.0,30.1,30.1,30.1,29.9,29.4,28.9,28.8,28.1,28.3,27.7,26.9,26.7,26.4,25.8,25.9,25.5,25.3,25.1,24.7,24.3,23.3,23.1,22.3
geoId-QTI,6.4,6.3,5.9,5.9,5.2,5.9,5.8,5.6,5.4,5.2,4.8,4.4,4.5,4.5,3.1,3.1,2.6,2.4,2.4,2.3,2.0,1.9,2.0,2.0,1.9,2.0,1.7,1.6
geoId-STG,132.6,110.0,121.1,73.6,51.0,67.1,54.6,48.4,40.3,24.5,31.2,23.8,25.8,22.3,26.9,21.8,23.6,26.6,31.5,30.6,13.6,14.1,12.5,12.0,11.5,11.7,11.3,10.6
