dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-VNM,,,,,78419.0,77035.0,77422.0,81568.0,85552.0,88787.0,96378.0,94852.0,98102.0,99950.0,103917.0,97061.0
