dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-VNM,,,,,650.0,778.0,563.0,637.0,379.0,358.0,833.0,1352.0,803.0,1431.0,939.0,815.0
