dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-VNM,33370.0,51135.0,57911.0,68210.0,85885.0,84366.0,81313.0,86621.0,89843.0,93422.0,102488.0,102532.26,103849.0,110086.0,112504.0,101733.0
