dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-VNM,,,,,1438.0,1575.0,911.0,2488.0,1119.0,991.0,1961.0,3666.91,443.0,1005.0,637.0,18.0
