dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2010,,,,
geoId-VNM,2011,92.51,89.2,98.04,86.13
geoId-VNM,2012,106.03,113.45,104.8,96.06
geoId-VNM,2013,107.96,106.44,108.82,108.81
geoId-VNM,2014,110.54,105.34,114.77,109.69
geoId-VNM,2015,109.74,102.88,112.69,114.8
geoId-VNM,2016,110.71,106.56,113.18,111.11
geoId-VNM,2017,111.99,103.38,116.96,112.43
geoId-VNM,2018,107.82,98.97,112.44,107.92
geoId-VNM,2019,107.07,99.47,111.68,103.72
geoId-VNM,2020,103.54,112.51,101.68,97.52
geoId-VNM,2021,100.33,94.65,103.93,96.83
geoId-VNM,Sơ bộ 2022,105.75,108.86,103.67,108.69
