dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2010,1044875.0,364286.0,466083.0,214506.0
geoId-VNM,2011,1160185.0,387576.0,545718.0,226891.0
geoId-VNM,2012,1274196.0,459504.0,596119.0,218573.0
geoId-VNM,2013,1389036.0,493724.0,655200.0,240112.0
geoId-VNM,2014,1560135.0,529468.0,765267.0,265400.0
geoId-VNM,2015,1756240.0,556380.0,881760.0,318100.0
geoId-VNM,2016,1926864.0,587110.0,988651.0,351103.0
geoId-VNM,2017,2186560.0,616459.0,1173901.0,396200.0
geoId-VNM,2018,2426400.0,630142.0,1361156.0,435102.0
geoId-VNM,2019,2670471.0,643094.0,1557937.0,469440.0
geoId-VNM,2020,2803065.0,734735.0,1605050.0,463280.0
geoId-VNM,2021,2896728.0,719293.0,1719354.0,458081.0
geoId-VNM,Sơ bộ 2022,3219807.0,824657.0,1873209.0,521941.0
