dia phuong,Năm,Tổng số,Kinh tế Nhà nước,Kinh tế ngoài nhà nước,Khu vực có vốn đầu tư nước ngoài
geoId-VNM,2010,1044875.0,364286.0,466083.0,214506.0
geoId-VNM,2011,966623.0,324940.0,456931.0,184752.0
geoId-VNM,2012,1024957.0,368629.0,478853.0,177475.0
geoId-VNM,2013,1106541.0,392359.0,521070.0,193112.0
geoId-VNM,2014,1223170.0,413319.0,598033.0,211818.0
geoId-VNM,2015,1342311.0,425225.0,673912.0,243174.0
geoId-VNM,2016,1486048.0,453106.0,762756.0,270186.0
geoId-VNM,2017,1664276.0,468411.0,892093.0,303772.0
geoId-VNM,2018,1794452.0,463566.0,1003046.0,327840.0
geoId-VNM,2019,1921367.0,461107.0,1120210.0,340050.0
geoId-VNM,2020,1989373.0,518787.0,1138979.0,331607.0
geoId-VNM,2021,1995905.0,491046.0,1183770.0,321089.0
geoId-VNM,Sơ bộ 2022,2110743.0,534559.0,1227178.0,349006.0
