"Tỉnh, thành phố",Năm,Tổng diện tích rừng,Rừng tự nhiên,Rừng trồng,Mới trồng,Tỷ lệ che phủ rừng (%)
geoId-STG,2012,10.3,1.5,8.8,0.7,2.9
geoId-STG,2013,10.3,1.5,8.8,0.7,2.9
geoId-STG,2014,9.4,2.0,7.3,2.7,2.0
geoId-STG,2015,10.5,2.0,8.5,3.2,2.2
geoId-STG,2016,10.7,2.0,8.7,,2.6
geoId-STG,2018,11.1,2.0,9.1,,2.8
geoId-STG,2019,10.7,2.0,8.7,,2.8
geoId-STG,2020,10.7,1.9,8.8,,2.7
geoId-STG,2021,10.1,1.7,8.4,,2.5
geoId-STG,2022,10.3,1.8,8.5,,2.5
geoId-SLA,2008,583.5,559.9,23.6,2.0,41.2
geoId-SLA,2009,587.0,562.8,24.1,,41.3
geoId-SLA,2010,625.8,602.1,23.7,1.1,44.1
geoId-SLA,2011,633.7,609.6,24.1,0.9,44.6
geoId-SLA,2012,635.2,611.6,23.6,1.2,44.7
geoId-SLA,2013,635.9,610.5,25.4,1.7,44.7
geoId-SLA,2014,633.7,608.4,25.3,1.4,44.6
geoId-SLA,2015,601.1,573.6,27.5,1.6,42.3
geoId-SLA,2016,599.0,573.2,25.8,,42.4
geoId-SLA,2018,619.8,587.7,32.1,,43.5
geoId-SLA,2019,634.5,588.3,46.2,,44.5
geoId-SLA,2020,647.2,590.9,56.3,,45.4
geoId-SLA,2021,659.9,593.4,66.5,,46.4
geoId-SLA,2022,672.9,594.0,78.9,,46.4
geoId-THA,2008,527.1,388.8,138.3,13.5,46.1
geoId-THA,2009,534.7,386.4,148.3,,46.7
geoId-THA,2010,545.0,386.0,159.0,,49.0
geoId-THA,2011,551.3,384.1,167.2,5.2,49.1
geoId-THA,2012,565.2,389.0,176.2,3.6,50.5
geoId-THA,2013,576.5,393.5,183.0,8.5,51.0
geoId-THA,2014,583.6,393.7,189.9,8.4,51.5
geoId-THA,2015,626.7,395.2,231.5,39.2,52.8
geoId-THA,2016,626.7,394.0,232.7,,52.9
geoId-THA,2018,633.2,393.1,240.1,,53.0
geoId-THA,2019,641.9,393.4,248.5,,53.4
geoId-THA,2020,647.1,393.4,253.7,,53.5
geoId-THA,2021,648.4,393.4,255.0,,53.5
geoId-THA,2022,647.7,393.3,254.4,,53.5
geoId-TBH,2008,7.5,0.0,7.5,0.7,4.4
geoId-TBH,2009,7.7,,7.7,,4.9
geoId-TBH,2010,7.3,,7.3,,4.8
geoId-TBH,2011,7.3,,7.3,,4.7
geoId-TBH,2012,5.7,,5.7,,3.6
geoId-TBH,2013,5.7,,5.7,,3.6
geoId-TBH,2014,5.9,,5.9,,3.8
geoId-TBH,2015,3.6,,3.7,0.3,2.1
geoId-TBH,2016,4.6,,4.6,,2.5
geoId-TBH,2018,4.2,,4.2,,2.2
geoId-TBH,2019,4.3,,4.3,,2.4
geoId-TBH,2020,4.4,0.0,4.4,,2.5
geoId-TBH,2021,4.3,,4.3,,2.5
geoId-TBH,2022,4.2,0.0,4.2,,2.5
geoId-TNN,2008,167.9,99.9,68.0,7.6,45.3
geoId-TNN,2009,171.7,98.6,73.1,,45.7
geoId-TNN,2010,175.1,97.0,78.1,11.4,46.0
geoId-TNN,2011,177.8,97.0,80.8,13.2,46.6
geoId-TNN,2012,178.8,95.1,83.7,12.1,47.2
geoId-TNN,2013,181.0,93.9,87.2,12.2,47.8
geoId-TNN,2014,182.7,93.1,89.6,10.6,47.9
geoId-TNN,2015,185.5,72.3,113.3,13.0,48.8
geoId-TNN,2016,186.5,76.5,110.0,,47.1
geoId-TNN,2018,187.4,76.5,110.9,,46.5
geoId-TNN,2019,187.5,76.5,111.1,,47.6
geoId-TNN,2020,187.5,76.5,111.0,,47.6
geoId-TNN,2021,187.5,76.3,111.2,,47.5
geoId-TNN,2022,165.8,62.5,103.3,,47.5
geoId-TTH,2008,293.2,203.8,89.4,14.3,55.0
geoId-TTH,2009,294.3,203.5,90.8,,56.2
geoId-TTH,2010,294.7,202.7,92.0,8.8,56.5
geoId-TTH,2011,294.7,202.7,92.0,9.3,56.7
geoId-TTH,2012,295.0,202.6,92.4,9.4,56.7
geoId-TTH,2013,296.1,202.6,93.5,11.1,56.6
geoId-TTH,2014,297.8,203.0,94.8,12.8,56.6
geoId-TTH,2015,298.6,203.1,95.5,12.5,56.9
geoId-TTH,2016,312.3,212.2,100.1,,56.3
geoId-TTH,2018,311.1,212.2,98.9,,57.3
geoId-TTH,2019,311.2,211.4,99.8,,57.4
geoId-TTH,2020,311.3,211.2,100.1,,57.4
geoId-TTH,2021,304.1,205.7,98.4,,57.2
geoId-TTH,2022,305.6,205.6,100.0,,57.2
geoId-TGG,2008,10.4,0.0,10.4,0.2,4.1
geoId-TGG,2009,8.8,,8.8,,3.5
geoId-TGG,2010,7.7,,7.7,0.1,3.1
geoId-TGG,2011,6.3,,6.3,0.2,2.4
geoId-TGG,2012,5.5,,5.5,,2.2
geoId-TGG,2013,3.9,,3.9,0.1,1.5
geoId-TGG,2014,3.9,,3.9,,1.6
geoId-TGG,2015,3.8,,3.9,0.7,1.2
geoId-TGG,2016,3.4,,3.4,,1.3
geoId-TGG,2018,2.6,,2.6,,1.0
geoId-TGG,2019,2.6,,2.6,,1.0
geoId-TGG,2020,2.6,0.0,2.6,,1.0
geoId-TGG,2021,2.4,,2.4,,0.9
geoId-TGG,2022,2.6,0.0,2.6,,0.9
geoId-HCM,2008,38.9,12.1,26.8,0.1,18.5
geoId-HCM,2009,39.0,12.2,26.8,,18.6
geoId-HCM,2010,39.3,12.5,26.8,,18.8
geoId-HCM,2011,39.3,12.5,26.8,,18.7
geoId-HCM,2012,39.3,12.5,26.8,,18.7
geoId-HCM,2013,34.4,13.4,21.0,,16.4
geoId-HCM,2014,34.4,13.4,21.0,,16.4
geoId-HCM,2015,34.4,13.4,21.0,,16.4
geoId-HCM,2016,36.6,14.1,22.5,,17.2
geoId-HCM,2018,36.6,14.1,22.5,,17.5
geoId-HCM,2019,33.5,13.5,19.9,,16.0
geoId-HCM,2020,33.5,13.5,20.0,,16.0
geoId-HCM,2021,33.5,13.5,20.0,,15.9
geoId-HCM,2022,33.6,13.5,20.1,,15.9
geoId-NT,2008,4558.4,3574.5,983.9,123.2,
geoId-NT,2009,4633.5,3565.8,1067.6,,
geoId-NT,2010,4675.0,3584.7,1090.3,145.0,
geoId-NT,2011,4746.5,3595.9,1150.6,152.4,
geoId-NT,2012,4925.2,3714.1,1211.1,160.7,
geoId-NT,2013,4959.3,3712.1,1247.2,157.3,
geoId-NT,2014,5030.0,3721.7,1308.2,148.4,50.5
geoId-NT,2015,5082.6,3714.5,1368.1,171.0,51.5
geoId-NT,2016,5098.0,3709.2,1388.8,,51.1
geoId-NT,2018,5203.4,3750.1,1453.3,,52.3
geoId-NT,2019,5278.5,3792.5,1486.0,,53.1
geoId-NT,2020,5327.5,3805.5,1522.0,,53.4
geoId-NT,2021,5375.0,3782.7,1592.3,,53.8
geoId-NT,2022,5399.7,3747.9,1651.8,,53.8
geoId-TVH,2008,6.7,1.3,5.4,0.2,2.9
geoId-TVH,2009,7.2,1.7,5.5,,3.1
geoId-TVH,2010,7.5,1.7,5.7,0.3,3.2
geoId-TVH,2011,7.5,1.7,5.8,,3.2
geoId-TVH,2012,7.5,1.6,5.9,0.3,3.1
geoId-TVH,2013,7.8,1.6,6.2,0.3,3.2
geoId-TVH,2014,8.2,2.7,5.5,1.0,3.1
geoId-TVH,2015,8.7,3.0,5.7,,3.7
geoId-TVH,2016,9.0,3.0,6.0,,3.3
geoId-TVH,2018,9.0,3.0,6.0,,3.7
geoId-TVH,2019,9.2,3.0,6.2,,3.8
geoId-TVH,2020,9.2,2.9,6.3,,4.0
geoId-TVH,2021,9.5,2.9,6.6,,4.0
geoId-TVH,2022,9.5,2.9,6.6,,4.0
geoId-TQG,2008,386.1,284.7,101.4,19.3,62.5
geoId-TQG,2009,386.1,273.8,112.3,,62.8
geoId-TQG,2010,390.1,270.6,119.5,13.0,64.1
geoId-TQG,2011,397.4,267.3,130.1,20.9,64.2
geoId-TQG,2012,405.5,267.5,138.0,28.1,64.3
geoId-TQG,2013,408.6,267.6,140.9,20.0,64.5
geoId-TQG,2014,415.6,267.8,147.7,20.7,64.7
geoId-TQG,2015,415.6,233.3,182.3,20.7,64.8
geoId-TQG,2016,417.0,233.3,183.7,,64.7
geoId-TQG,2018,422.5,233.2,189.3,,65.0
geoId-TQG,2019,424.7,233.2,191.5,,65.2
geoId-TQG,2020,425.4,233.2,192.2,,65.2
geoId-TQG,2021,426.1,233.2,192.9,,65.2
geoId-TQG,2022,426.2,233.1,193.1,,65.2
geoId-TNN,2008,2928.7,2731.4,197.3,26.2,
geoId-TNN,2009,2925.2,2715.7,209.5,,
geoId-TNN,2010,2874.4,2653.9,220.5,38.3,
geoId-TNN,2011,2848.0,2610.6,237.4,42.7,
geoId-TNN,2012,2903.9,2594.0,309.9,42.7,
geoId-TNN,2013,2848.7,2547.9,300.8,26.8,
geoId-TNN,2014,2567.1,2253.8,313.3,64.6,45.8
geoId-TNN,2015,2562.0,2246.0,315.9,44.1,46.1
geoId-TNN,2016,2558.7,2234.5,324.2,,46.0
geoId-TNN,2018,2557.4,2207.0,350.4,,46.0
geoId-TNN,2019,2559.9,2191.2,368.7,,45.9
geoId-TNN,2020,2562.0,2179.8,382.2,,46.0
geoId-TNN,2021,2572.7,2104.1,468.6,,46.3
geoId-TNN,2022,2571.1,2090.8,480.3,,46.3
geoId-TNH,2008,45.3,34.8,10.5,0.1,11.1
geoId-TNH,2009,46.3,34.7,11.6,,11.2
geoId-TNH,2010,48.1,35.5,12.6,2.1,11.4
geoId-TNH,2011,52.1,35.5,16.6,2.9,12.2
geoId-TNH,2012,57.0,39.5,17.5,1.4,13.8
geoId-TNH,2013,57.9,39.4,18.5,1.5,14.0
geoId-TNH,2014,60.1,39.5,20.7,1.2,14.6
geoId-TNH,2015,60.4,39.4,20.9,1.0,14.7
geoId-TNH,2016,66.3,45.7,20.6,,15.7
geoId-TNH,2018,66.5,45.8,20.7,,16.0
geoId-TNH,2019,65.7,45.7,20.0,,16.0
geoId-TNH,2020,66.4,45.9,20.5,,16.1
geoId-TNH,2021,66.3,45.9,20.4,,16.1
geoId-TNH,2022,66.6,46.5,20.1,,16.1
geoId-VPC,2008,28.4,9.4,19.0,1.5,21.8
geoId-VPC,2009,28.6,9.4,19.2,,22.3
geoId-VPC,2010,28.5,9.4,19.2,1.0,22.4
geoId-VPC,2011,28.2,9.4,18.8,1.0,22.1
geoId-VPC,2012,31.0,11.1,19.9,1.1,24.1
geoId-VPC,2013,31.9,12.0,19.9,1.0,25.0
geoId-VPC,2014,31.8,12.0,19.8,1.0,24.9
geoId-VPC,2015,33.3,12.0,21.3,3.7,24.1
geoId-VPC,2016,33.3,12.0,21.3,,23.8
geoId-VPC,2018,33.5,12.0,21.5,,24.4
geoId-VPC,2019,33.2,11.9,21.3,,24.7
geoId-VPC,2020,33.2,12.0,21.2,,25.0
geoId-VPC,2021,33.3,12.0,21.3,,25.0
geoId-VPC,2022,33.4,12.1,21.3,,25.0
geoId-YBI,2008,400.2,231.9,168.3,12.0,56.3
geoId-YBI,2009,404.4,231.6,172.8,,56.9
geoId-YBI,2010,410.7,234.7,176.0,12.9,57.7
geoId-YBI,2011,410.8,233.3,177.5,10.4,58.1
geoId-YBI,2012,414.6,236.8,177.8,9.9,58.8
geoId-YBI,2013,407.8,234.3,173.5,8.9,57.5
geoId-YBI,2014,430.9,235.9,195.0,14.8,60.4
geoId-YBI,2015,453.1,246.0,207.1,24.8,62.2
geoId-YBI,2016,454.8,245.9,208.9,,62.5
geoId-YBI,2018,464.2,245.6,218.6,,63.0
geoId-YBI,2019,462.3,245.6,216.7,,63.0
geoId-YBI,2020,463.3,245.6,217.7,,63.0
geoId-YBI,2021,464.0,213.9,250.1,,63.0
geoId-YBI,2022,463.8,215.9,247.9,,63.0
geoId-DBN,2008,397.1,383.4,13.7,0.1,41.6
geoId-DBN,2009,394.6,379.3,15.3,,41.0
geoId-DBN,2010,347.2,330.9,16.3,1.0,36.2
geoId-DBN,2011,350.5,333.9,16.6,0.3,36.6
geoId-DBN,2012,393.3,377.1,16.2,8.7,40.2
geoId-DBN,2013,400.0,382.6,17.4,8.5,40.9
geoId-DBN,2014,401.7,384.3,17.4,6.7,41.3
geoId-DBN,2015,368.3,362.2,6.0,0.8,38.4
geoId-DBN,2016,368.8,362.2,6.6,,38.5
geoId-DBN,2018,381.6,374.0,7.6,,39.8
geoId-DBN,2019,406.3,397.0,9.3,,42.2
geoId-DBN,2020,409.8,400.5,9.3,,42.7
geoId-DBN,2021,412.4,403.0,9.4,,43.0
geoId-DBN,2022,417.4,409.1,8.3,,43.0
geoId-DNG,2008,56.6,38.8,17.8,10.8,36.4
geoId-DNG,2009,47.0,36.5,10.5,,33.1
geoId-DNG,2010,51.3,38.8,12.5,2.6,38.8
geoId-DNG,2011,59.9,40.8,19.1,0.7,46.0
geoId-DNG,2012,59.9,40.8,19.1,1.8,45.2
geoId-DNG,2013,56.0,41.7,14.3,,43.5
geoId-DNG,2014,54.9,41.6,13.3,2.4,40.8
geoId-DNG,2015,58.1,42.8,15.3,3.6,42.4
geoId-DNG,2016,62.6,43.7,18.9,,43.6
geoId-DNG,2018,62.8,43.7,19.1,,46.7
geoId-DNG,2019,63.6,44.5,19.1,,47.0
geoId-DNG,2020,63.3,43.2,20.1,,47.2
geoId-DNG,2021,63.4,43.2,20.2,,47.2
geoId-DNG,2022,63.1,43.2,19.9,,47.2
geoId-ST,2008,419.9,280.3,139.6,14.4,
geoId-ST,2009,402.8,269.3,133.5,,
geoId-ST,2010,408.0,246.1,161.9,23.1,
geoId-ST,2011,423.0,246.0,177.0,31.5,
geoId-ST,2012,471.8,246.0,225.8,32.3,
geoId-ST,2013,466.9,246.9,220.0,16.7,
geoId-ST,2014,476.2,247.7,228.5,6.0,19.9
geoId-ST,2015,473.9,246.8,227.1,5.3,19.9
geoId-ST,2016,485.1,257.8,227.3,,19.3
geoId-ST,2018,486.7,257.7,229.0,,19.4
geoId-ST,2019,480.9,257.2,223.7,,19.4
geoId-ST,2020,480.1,257.1,223.0,,19.5
geoId-ST,2021,479.8,257.3,222.5,,19.4
geoId-ST,2022,479.4,258.1,221.3,,19.4
geoId-DLK,2008,629.0,574.5,54.5,9.8,47.2
geoId-DLK,2009,633.2,571.9,61.3,,47.2
geoId-DLK,2010,610.5,567.9,42.6,13.1,45.5
geoId-DLK,2011,609.3,562.8,46.5,16.8,45.1
geoId-DLK,2012,641.2,560.9,80.3,11.2,48.0
geoId-DLK,2013,641.2,560.9,80.3,,48.0
geoId-DLK,2014,528.1,475.9,52.2,20.7,38.7
geoId-DLK,2015,526.5,472.2,54.3,11.6,39.2
geoId-DLK,2016,526.4,471.6,54.8,,39.3
geoId-DLK,2018,512.8,457.6,55.2,,38.5
geoId-DLK,2019,515.0,446.2,68.8,,38.6
geoId-DLK,2020,517.9,437.7,80.2,,38.8
geoId-DLK,2021,509.7,426.0,83.7,,38.4
geoId-DLK,2022,505.6,413.9,91.7,,38.4
geoId-DNG1,2008,323.7,311.0,12.7,4.2,49.0
geoId-DNG1,2009,324.0,309.5,14.6,,49.1
geoId-DNG1,2010,288.8,261.7,27.1,0.5,44.2
geoId-DNG1,2011,289.0,260.1,28.9,2.5,44.0
geoId-DNG1,2012,287.6,256.8,30.8,3.7,43.6
geoId-DNG1,2013,230.6,213.7,16.9,0.5,35.3
geoId-DNG1,2014,261.2,220.7,40.5,7.2,39.0
geoId-DNG1,2015,258.5,218.2,40.3,3.5,39.1
geoId-DNG1,2016,256.1,210.0,46.1,,38.8
geoId-DNG1,2018,258.8,206.0,52.8,,39.2
geoId-DNG1,2019,251.2,198.8,52.4,,37.9
geoId-DNG1,2020,251.1,196.3,54.8,,38.1
geoId-DNG1,2021,251.8,196.4,55.4,,38.2
geoId-DNG1,2022,254.3,196.0,58.3,,38.2
geoId-MRD,2008,298.5,60.0,238.5,15.1,
geoId-MRD,2009,276.3,60.5,215.9,,
geoId-MRD,2010,268.9,61.1,207.8,14.8,
geoId-MRD,2011,260.1,60.9,199.2,13.0,
geoId-MRD,2012,249.2,59.5,189.7,14.1,
geoId-MRD,2013,282.1,59.3,222.9,14.3,
geoId-MRD,2014,270.8,63.9,206.9,32.8,5.9
geoId-MRD,2015,272.0,64.0,208.1,43.3,5.6
geoId-MRD,2016,226.1,64.1,162.0,,4.4
geoId-MRD,2018,243.1,74.3,168.8,,5.3
geoId-MRD,2019,249.3,79.9,169.4,,5.4
geoId-MRD,2020,250.4,79.8,170.6,,4.9
geoId-MRD,2021,247.7,79.2,168.5,,5.8
geoId-MRD,2022,246.7,79.3,167.4,,5.8
geoId-RRD,2008,416.4,212.8,203.6,36.7,
geoId-RRD,2009,428.9,207.6,221.3,,
geoId-RRD,2010,434.9,203.4,231.5,30.4,
geoId-RRD,2011,440.8,202.6,238.2,28.9,
geoId-RRD,2012,447.7,203.6,244.1,26.9,
geoId-RRD,2013,466.0,199.3,266.7,20.4,
geoId-RRD,2014,482.9,190.0,292.9,24.1,23.7
geoId-RRD,2015,491.6,183.3,308.3,36.6,21.5
geoId-RRD,2016,487.8,181.2,306.6,,21.9
geoId-RRD,2018,487.0,180.4,306.6,,22.0
geoId-RRD,2019,486.9,180.7,306.2,,22.1
geoId-RRD,2020,487.3,180.5,306.8,,21.3
geoId-RRD,2021,487.3,180.1,307.2,,22.7
geoId-RRD,2022,487.4,180.2,307.2,,22.7
geoId-DNI,2008,167.3,110.7,56.6,0.0,28.3
geoId-DNI,2009,167.6,111.6,56.0,,28.4
geoId-DNI,2010,167.9,111.6,56.3,,28.4
geoId-DNI,2011,179.7,120.0,59.7,3.6,29.8
geoId-DNI,2012,178.7,120.0,58.7,3.3,29.7
geoId-DNI,2013,177.9,119.9,58.0,2.1,29.8
geoId-DNI,2014,185.4,121.4,64.0,3.3,30.8
geoId-DNI,2015,184.2,121.4,62.8,2.9,30.7
geoId-DNI,2016,182.3,123.4,58.9,,29.1
geoId-DNI,2018,184.5,123.6,60.9,,29.0
geoId-DNI,2019,182.7,123.7,59.0,,29.1
geoId-DNI,2020,181.3,123.7,57.6,,29.0
geoId-DNI,2021,182.0,123.8,58.2,,29.3
geoId-DNI,2022,181.4,124.0,57.4,,29.3
geoId-DTP,2008,9.0,0.0,9.0,0.6,2.5
geoId-DTP,2009,8.4,,8.4,,2.4
geoId-DTP,2010,7.6,0.0,7.6,0.3,2.2
geoId-DTP,2011,7.1,,7.1,0.3,2.0
geoId-DTP,2012,6.7,,6.7,0.3,1.9
geoId-DTP,2013,44.1,,44.1,0.2,13.0
geoId-DTP,2014,52.4,,52.4,0.9,15.2
geoId-DTP,2015,52.2,,52.2,1.0,15.1
geoId-DTP,2016,6.1,,6.1,,1.7
geoId-DTP,2018,6.1,,6.1,,1.5
geoId-DTP,2019,6.1,,6.1,,1.6
geoId-DTP,2020,6.2,0.0,6.2,,1.7
geoId-DTP,2021,6.2,,6.2,,1.7
geoId-DTP,2022,6.0,0.0,6.0,,1.7
