dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,35.0,41.5,51.8,58.3,64.25,70.93,82.58,113.69,134.69,135.58,174.38,258.61,267.55,282.13,321.65,461.0,427.95
