dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,3232.2,541.0,699.8,1769.2,1395.31,1454.07,1276.03,1355.36,1371.07,1437.88,1319.95,1190.09,1080.63,992.41,961.18,992.62,897.06
