dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,257.3,84.0,103.3,435.6,477.69,518.18,574.85,599.62,600.46,626.73,633.52,738.75,746.8,700.88,785.81,827.13,924.09
