dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,24.3,31.2,40.9,46.7,35.83,46.26,52.89,57.56,65.61,70.31,76.65,83.89,87.99,98.91,105.8,109.97,115.98
