dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,34.2,42.7,50.1,51.3,66.56,94.45,115.4,125.69,130.35,128.66,133.91,149.32,163.78,162.42,170.44,186.23,200.16
