dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,35.6,41.0,43.6,42.8,42.61,48.65,52.24,57.28,60.69,61.11,66.9,75.35,75.05,82.68,66.31,59.0,80.51
