dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,220.0,312.2,337.7,468.6,494.3,559.73,725.63,847.56,900.3,1098.95,1155.63,1407.94,1450.91,1462.04,1827.08,2215.11,2722.02
