dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,21.7,29.1,35.4,38.8,89.67,114.72,125.99,144.02,157.18,155.37,176.89,176.22,196.62,196.55,196.66,203.52,232.04
