dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,82.0,107.2,117.6,111.2,294.71,369.15,375.81,433.64,503.44,519.24,595.47,592.39,567.41,541.9,522.45,614.01,571.56
