dia phuong,2005,2007,2008,2009,2010 (**),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Sơ bộ 2021,Ước tính 2022
geoId-VNM,7.5,11.0,15.6,15.8,15.0,20.47,25.63,28.91,29.99,31.35,33.69,40.89,44.27,43.14,48.9,62.1,58.91
