Vùng,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,3.56,2.95,2.74,2.74,2.39,2.3,1.88,1.97,1.62,1.5,2.52,3.1,2.21
geoId-RRD,3.49,3.2,2.51,2.64,2.5,1.89,1.2,1.34,0.84,0.79,1.36,1.5,0.93
geoId-NT,2.13,1.87,1.97,1.67,1.46,1.88,1.65,1.67,1.64,1.77,2.34,1.92,2.18
geoId-SCC,4.46,3.4,3.24,2.9,2.63,3.03,2.32,2.24,1.8,1.96,3.05,3.66,3.05
geoId-TNN,3.7,3.09,2.81,2.41,2.51,2.33,2.29,2.02,2.31,1.56,5.2,3.56,2.82
geoId-ST,1.22,0.8,0.94,0.92,0.62,0.86,0.64,0.7,0.53,0.47,1.62,3.76,1.39
geoId-MRD,5.56,4.79,4.56,5.26,4.28,3.7,3.44,3.91,3.17,2.78,3.47,4.33,3.61
