Vùng,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,4.26,3.55,3.26,3.31,2.94,2.86,2.34,2.41,2.02,1.87,2.94,2.96,2.52
geoId-RRD,4.24,3.89,3.08,3.18,3.17,2.32,1.47,1.63,0.97,0.84,1.57,1.55,1.02
geoId-NT,2.16,1.95,2.09,1.75,1.53,2.0,1.79,1.81,1.76,1.89,2.39,1.96,2.13
geoId-SCC,4.95,3.63,3.48,3.08,2.88,3.5,2.63,2.49,2.07,2.32,3.34,3.43,3.2
geoId-TNN,3.83,3.4,2.85,2.52,2.74,2.69,2.83,2.27,2.82,1.78,5.99,3.68,3.12
geoId-ST,1.99,1.4,1.49,1.65,1.12,1.36,0.84,0.87,0.86,0.64,1.78,2.74,1.74
geoId-MRD,6.35,5.37,5.05,6.02,4.87,4.24,4.02,4.48,3.61,3.17,3.97,4.51,3.89
