dia phuong,Năm,Tổng số,Xuất khẩu,Nhập khẩu,Cân đối (*)
geoId-VNM,1990,,,,
geoId-VNM,1991,85.8,86.8,84.9,
geoId-VNM,1992,115.7,123.7,108.7,
geoId-VNM,1993,134.9,115.7,154.4,
geoId-VNM,1994,143.0,135.8,148.5,
geoId-VNM,1995,137.7,134.4,140.0,
geoId-VNM,1996,135.2,133.2,136.6,
geoId-VNM,1997,112.9,126.6,104.0,
geoId-VNM,1998,100.4,101.9,99.2,
geoId-VNM,1999,111.6,123.3,102.1,
geoId-VNM,2000,129.4,125.5,133.2,
geoId-VNM,2001,103.7,103.8,103.7,
geoId-VNM,2002,116.7,111.2,121.8,
geoId-VNM,2003,124.6,120.6,127.9,
geoId-VNM,2004,128.7,131.4,126.6,
geoId-VNM,2005,118.4,122.5,115.0,
geoId-VNM,2006,122.4,122.7,122.1,
geoId-VNM,2007,131.4,121.9,139.8,
geoId-VNM,2008,128.8,129.1,128.6,
geoId-VNM,2009,88.6,91.1,86.7,
geoId-VNM,2010,123.6,126.5,121.3,
geoId-VNM,2011,129.7,134.2,125.8,
geoId-VNM,2012,112.1,118.2,106.6,
geoId-VNM,2013,115.7,115.3,116.0,
geoId-VNM,2014,112.9,113.8,112.0,
geoId-VNM,2015,110.0,107.9,112.1,
geoId-VNM,2016,107.3,109.0,105.6,
geoId-VNM,2017,121.8,121.8,121.9,
geoId-VNM,2018,112.3,113.3,111.3,
geoId-VNM,2019,107.7,108.4,106.9,
geoId-VNM,2020,105.3,106.9,103.6,
geoId-VNM,2021,122.7,118.9,126.7,
geoId-VNM,Sơ bộ 2022,109.1,110.5,107.8,
