dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,80.0,13.1,37.1,23.7,39.6,36.8,44.2,71.2,38.2,16.6,50.88,52.53,87.45,78.62,77.35
