dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,588.5,617.2,929.4,832.1,729.7,675.5,855.1,983.0,943.8,631.9,945.63,892.47,1047.13,1129.46,909.66
