dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,1990,1.92,1.94,1.9,2.41,1.8
geoId-VNM,1991,1.86,1.9,1.82,2.7,1.65
geoId-VNM,1992,1.8,1.86,1.74,2.72,1.57
geoId-VNM,1993,1.74,1.81,1.69,2.75,1.5
geoId-VNM,1994,1.69,1.78,1.61,3.33,1.29
geoId-VNM,1995,1.65,1.74,1.57,3.55,1.17
geoId-VNM,1996,1.61,1.76,1.47,3.23,1.19
geoId-VNM,1997,1.57,1.72,1.43,9.18,-0.46
geoId-VNM,1998,1.55,1.69,1.41,3.74,0.91
geoId-VNM,1999,1.51,1.54,1.48,3.53,0.9
geoId-VNM,2000,1.35,1.34,1.36,3.32,0.74
geoId-VNM,2001,1.27,1.29,1.26,3.06,0.71
geoId-VNM,2002,1.17,1.18,1.15,2.97,0.58
geoId-VNM,2003,1.17,1.08,1.25,4.29,0.13
geoId-VNM,2004,1.2,1.28,1.13,4.23,0.16
geoId-VNM,2005,1.17,1.2,1.15,3.38,0.38
geoId-VNM,2006,1.12,1.18,1.05,3.2,0.34
geoId-VNM,2007,1.09,1.09,1.08,3.04,0.34
geoId-VNM,2008,1.07,1.23,0.92,3.9,-0.04
geoId-VNM,2009,1.06,1.35,0.79,3.69,-0.01
geoId-VNM,2010,1.21,1.27,1.15,3.42,0.28
geoId-VNM,2011,1.24,1.29,1.19,4.6,-0.23
geoId-VNM,2012,1.2,1.26,1.14,2.15,0.76
geoId-VNM,2013,1.11,1.17,1.05,2.09,0.65
geoId-VNM,2014,1.12,1.18,1.07,4.88,-0.64
geoId-VNM,2015,1.12,1.2,1.05,2.01,0.68
geoId-VNM,2016,1.11,1.18,1.04,1.67,0.83
geoId-VNM,2017,1.11,1.2,1.03,1.69,0.81
geoId-VNM,2018,1.17,1.24,1.1,2.22,0.63
geoId-VNM,2019,1.15,1.25,1.06,3.61,-0.13
geoId-VNM,2020,1.14,1.27,1.01,6.06,-1.52
geoId-VNM,2021,0.94,0.96,0.93,1.94,0.37
geoId-VNM,Sơ bộ 2022,0.98,1.01,0.96,2.15,0.3
