dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,1990,66016.7,32202.8,33813.9,12880.3,53136.4
geoId-VNM,1991,67242.4,32814.3,34428.1,13227.5,54014.9
geoId-VNM,1992,68450.1,33424.2,35025.9,13587.6,54862.5
geoId-VNM,1993,69644.5,34028.3,35616.2,13961.2,55683.3
geoId-VNM,1994,70824.5,34633.2,36191.3,14425.6,56398.9
geoId-VNM,1995,71995.5,35237.4,36758.1,14938.1,57057.4
geoId-VNM,1996,73156.7,35857.3,37299.4,15419.9,57736.8
geoId-VNM,1997,74306.9,36473.1,37833.8,16835.4,57471.5
geoId-VNM,1998,75456.3,37089.7,38366.6,17464.6,57991.7
geoId-VNM,1999,76596.7,37662.1,38934.6,18081.6,58515.1
geoId-VNM,2000,77630.9,38165.3,39465.6,18725.4,58905.5
geoId-VNM,2001,78620.5,38656.4,39964.1,19299.1,59321.4
geoId-VNM,2002,79537.7,39112.2,40425.5,19873.2,59664.5
geoId-VNM,2003,80467.4,39535.0,40932.4,20725.0,59742.4
geoId-VNM,2004,81436.4,40042.0,41394.4,21601.2,59835.2
geoId-VNM,2005,82392.1,40521.5,41870.6,22332.0,60060.1
geoId-VNM,2006,83311.2,40999.0,42312.2,23045.8,60265.4
geoId-VNM,2007,84218.5,41447.3,42771.2,23746.3,60472.2
geoId-VNM,2008,85118.7,41956.1,43162.6,24673.1,60445.6
geoId-VNM,2009,86025.0,42523.4,43501.6,25584.7,60440.3
geoId-VNM,2010,87067.3,43063.4,44003.9,26460.5,60606.8
geoId-VNM,2011,88145.8,43619.2,44526.6,27678.6,60467.2
geoId-VNM,2012,89202.9,44168.0,45034.9,28274.9,60928.0
geoId-VNM,2013,90191.4,44685.8,45505.6,28865.1,61326.3
geoId-VNM,2014,91203.8,45212.8,45991.0,30272.7,60931.1
geoId-VNM,2015,92228.6,45753.8,46474.8,30881.9,61346.7
geoId-VNM,2016,93250.7,46294.7,46956.0,31397.0,61853.7
geoId-VNM,2017,94286.0,46848.0,47438.0,31928.3,62357.7
geoId-VNM,2018,95385.2,47427.1,47958.1,32636.9,62748.3
geoId-VNM,2019,96484.0,48017.7,48466.3,33816.6,62667.4
geoId-VNM,2020,97582.69,48625.99,48956.71,35867.21,61715.48
geoId-VNM,2021,98504.4,49092.7,49411.7,36563.3,61941.1
geoId-VNM,Sơ bộ 2022,99474.42,49590.24,49884.17,37350.5,62123.91
