Địa phương,Năm,Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2)
geoId-ST,2011,23597.9,15005.55,635.89
geoId-ST,2012,23598.0,15371.24,651.38
geoId-ST,2013,23590.8,15730.65,666.81
geoId-ST,2014,23590.7,16093.51,682.2
geoId-ST,2015,23590.7,16448.5,697.25
geoId-ST,2016,23552.6,16789.2,712.84
geoId-ST,2017,23552.6,17132.6,727.42
geoId-ST,2018,23552.8,17527.4,744.17
geoId-ST,2019 ,23552.8,17930.3,761.0
geoId-ST,2020 ,23551.4,18342.89,779.0
geoId-ST,2021 ,23551.41,18315.0,778.0
geoId-ST,2022 ,23551.42,18810.77,799.0
geoId-DLK,2011,13125.4,1760.42,134.12
geoId-DLK,2012,13125.4,1777.26,135.41
geoId-DLK,2013,13125.4,1794.56,136.72
geoId-DLK,2014,13125.4,1805.83,137.58
geoId-DLK,2015,13125.4,1820.1,138.67
geoId-DLK,2016,13030.5,1836.4,140.93
geoId-DLK,2017,13030.5,1850.3,142.0
geoId-DLK,2018,13030.5,1861.5,142.86
geoId-DLK,2019 ,13030.5,1872.6,144.0
geoId-DLK,2020 ,13070.4,1886.94,144.0
geoId-DLK,2021 ,13070.41,1909.0,146.0
geoId-DLK,2022 ,13070.41,1918.44,147.0
geoId-DNG1,2011,6515.6,512.67,78.68
geoId-DNG1,2012,6515.6,529.37,81.25
geoId-DNG1,2013,6515.6,548.1,84.12
geoId-DNG1,2014,6515.6,564.96,86.71
geoId-DNG1,2015,6515.6,580.5,89.09
geoId-DNG1,2016,6509.3,594.4,91.32
geoId-DNG1,2017,6509.3,604.9,92.93
geoId-DNG1,2018,6509.3,615.4,94.54
geoId-DNG1,2019 ,6509.3,625.8,96.0
geoId-DNG1,2020 ,6509.3,637.91,98.0
geoId-DNG1,2021 ,6509.27,664.42,102.0
geoId-DNG1,2022 ,6509.27,670.56,103.0
geoId-MRD,2011,40548.2,17217.72,424.62
geoId-MRD,2012,40553.1,17252.6,425.43
geoId-MRD,2013,40572.0,17269.94,425.66
geoId-MRD,2014,40576.0,17269.81,425.62
geoId-MRD,2015,40576.0,17266.7,425.54
geoId-MRD,2016,40816.3,17271.6,423.15
geoId-MRD,2017,40816.3,17279.5,423.35
geoId-MRD,2018,40816.4,17280.7,423.38
geoId-MRD,2019 ,40816.4,17282.5,423.0
geoId-MRD,2020 ,40921.7,17318.55,423.0
geoId-MRD,2021 ,40921.7,17422.62,426.0
geoId-MRD,2022 ,40922.58,17432.1,426.0
geoId-RRD,2011,21068.1,20216.81,959.59
geoId-RRD,2012,21050.9,20525.36,975.03
geoId-RRD,2013,21059.3,20785.63,987.0
geoId-RRD,2014,21060.0,21080.59,1000.98
geoId-RRD,2015,21060.0,21368.4,1014.64
geoId-RRD,2016,21260.3,21669.2,1019.23
geoId-RRD,2017,21259.6,21968.6,1033.35
geoId-RRD,2018,21260.0,22290.7,1048.48
geoId-RRD,2019 ,21260.8,22620.2,1064.0
geoId-RRD,2020 ,21254.6,22920.18,1078.0
geoId-RRD,2021 ,21278.46,23224.84,1091.0
geoId-RRD,2022 ,21278.63,23454.2,1102.0
geoId-DNI,2011,5907.2,2661.78,450.6
geoId-DNI,2012,5907.2,2719.05,460.29
geoId-DNI,2013,5907.2,2771.42,469.16
geoId-DNI,2014,5907.2,2831.29,479.29
geoId-DNI,2015,5907.2,2890.0,489.23
geoId-DNI,2016,5863.6,2951.4,503.34
geoId-DNI,2017,5863.6,3004.9,512.47
geoId-DNI,2018,5863.6,3055.1,521.03
geoId-DNI,2019 ,5863.6,3113.7,531.0
geoId-DNI,2020 ,5863.6,3177.4,542.0
geoId-DNI,2021 ,5863.62,3169.1,540.0
geoId-DNI,2022 ,5863.62,3255.81,555.0
geoId-DTP,2011,3377.0,1653.23,489.56
geoId-DTP,2012,3377.0,1646.17,487.46
geoId-DTP,2013,3378.8,1639.21,485.15
geoId-DTP,2014,3378.8,1632.37,483.12
geoId-DTP,2015,3378.8,1625.6,481.12
geoId-DTP,2016,3384.0,1619.0,478.43
geoId-DTP,2017,3383.8,1612.5,476.54
geoId-DTP,2018,3383.8,1606.1,474.64
geoId-DTP,2019 ,3383.8,1598.8,472.0
geoId-DTP,2020 ,3382.3,1600.01,473.0
geoId-DTP,2021 ,3382.28,1601.31,473.0
geoId-DTP,2022 ,3382.28,1600.17,473.0
