Tỉnh/Thành phố,Thời gian,CSTP 3: Tính Minh bạch,Tiếp cận tài liệu quy hoạch (1=Không thể; 5=Rất dễ),Tiếp cận tài liệu pháp lý  (1=Không thể; 5=Rất dễ),Các tài liệu về ngân sách đủ chi tiết để DN sử dụng cho hoạt động kinh doanh (%),Thông tin mời thầu được công khai(%),"Tỉ lệ DN nhận được thông tin, văn bản sau khi đề nghị CQNN của tỉnh cung cấp (%)","Số ngày để nhận được thông tin, văn bản sau khi đã đề nghị cung cấp (trung vị)",Cần có 'mối quan hệ' để có được các tài liệu của tỉnh (%),'Thỏa thuận' khoản thuế phải nộp với CB thuế là công việc quan trọng(%),Dự liệu được việc thực thi của tỉnh đối với QĐPL của TW (% chắc chắn),"Vai trò HHDN trong việc xây dựng chính sách, quy định của tỉnh (% lớn/rất lớn)",Điểm số về độ mở và chất lượng trang web của tỉnh (Nhóm nghiên cứu PCI),Tỉ lệ DN truy cập vào website của tỉnh (%)
geoId-TNH,201700,6.285279750823975,2.6330435276031494,3.154217004776001,0.800000011920929,0.6279069781303406,0.6666666865348816,4.0,0.6859503984451294,0.5726495981216431,0.06451612710952759,0.46296295523643494,31.0,0.6746031641960144
geoId-TBH,201700,6.538924217224121,2.416935443878174,3.114156484603882,0.90625,0.6486486196517944,0.7428571581840515,5.0,0.6818181872367859,0.5400000214576721,0.04716981202363968,0.5571428537368774,35.0,0.6590909361839294
geoId-TNN,201700,6.313944339752197,2.565781831741333,3.1321117877960205,0.8333333134651184,0.4893617033958435,0.4444444477558136,3.0,0.6355932354927063,0.41111111640930176,0.010869565419852734,0.5384615659713745,34.0,0.725806474685669
geoId-THA,201700,6.361669063568115,2.363299608230591,2.987152338027954,0.8214285969734192,0.4761904776096344,0.800000011920929,3.0,0.6666666865348816,0.6451612710952759,0.07407407462596893,0.5384615659713745,32.0,0.7099999785423279
geoId-TGG,201700,6.1428327560424805,2.2331578731536865,2.825998067855835,0.8666666746139526,0.4883720874786377,0.8399999737739563,5.5,0.7346938848495483,0.5777778029441833,0.08139535039663315,0.5625,35.0,0.6200000047683716
geoId-TVH,201700,6.3267316818237305,2.427710771560669,3.059013605117798,0.9230769276618958,0.517241358757019,0.6111111044883728,4.5,0.7283950448036194,0.41558441519737244,0.050847455859184265,0.42105263471603394,36.5,0.6987951993942261
geoId-TQG,201700,6.589672565460205,2.475095748901367,3.068263292312622,0.8095238208770752,0.5531914830207825,0.8461538553237915,5.0,0.6404494643211365,0.5616438388824463,0.056338027119636536,0.6511628031730652,29.0,0.7303370833396912
geoId-VLG,201700,6.063775062561035,2.2827587127685547,3.0096843242645264,0.8333333134651184,0.5454545617103577,0.4736842215061188,4.0,0.739130437374115,0.4691357910633087,0.0845070406794548,0.5588235259056091,35.0,0.621052622795105
geoId-VPC,201700,6.593345642089844,2.5045976638793945,3.137510061264038,0.7037037014961243,0.52173912525177,0.75,2.0,0.632478654384613,0.5221238732337952,0.06060606241226196,0.49056604504585266,36.5,0.6967213153839111
geoId-YBI,201700,6.159721374511719,2.3591396808624268,3.0738353729248047,0.8181818127632141,0.4000000059604645,0.7727272510528564,3.0,0.7473683953285217,0.5340909361839294,0.0416666679084301,0.4583333432674408,32.5,0.7319587469100952
