dia phuong,2006,2008,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,,,0.65,0.66,0.67,0.68,0.69,0.68,0.69,0.69,0.7,0.7,0.73,0.73
