dia phuong,2006,2008,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,89.1,92.1,90.5,91.0,,93.0,,93.4,,95.7,96.34,97.4,,
