dia phuong,2006,2008,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,99.0,99.0,98.4,99.4,,99.7,,99.7,,99.8,,99.9,,
