dia phuong,2006,2008,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,15.5,13.4,14.2,11.1,9.8,8.4,7.0,9.2,7.9,6.84,5.65,4.8,4.4,4.4
