dia phuong,2006,2008,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,636.0,995.0,1387.0,2000.0,,2637.0,,3098.0,,3873.76,4294.5,4250.0,4205.0,4205.0
