dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,61.57,91.22,100.0,113.32,119.88,130.79,136.15,136.42,140.89,144.66,147.39,150.3,148.87,149.26,157.78
