dia phuong,2000,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,96.13,102.52,112.44,111.32,108.7,111.16,136.57,108.71,110.71,126.49,108.12,102.68,104.0,101.48,102.36,98.92,103.23,104.06,109.99,100.72,102.55
