dia phuong,2000,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,104.5,108.01,106.43,107.05,108.9,111.02,120.51,103.46,114.68,119.66,110.64,104.72,103.74,98.38,102.5,104.29,103.32,103.03,101.79,101.76,103.11
