dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.4,100.7,100.4,100.5,100.5,100.5,100.5,100.6,100.7,100.6,100.6,100.8
geoId-VNM,2003,100.3,100.5,100.7,100.8,101.0,100.1,101.1,100.8,100.8,101.0,101.5,101.9
geoId-VNM,2004,100.5,101.2,100.9,101.4,101.5,101.6,102.1,102.5,102.8,103.2,103.3,103.6
geoId-VNM,2005,100.8,101.2,101.4,101.8,102.1,102.4,102.7,103.2,103.5,103.9,104.2,104.8
geoId-VNM,2006,100.6,101.2,101.6,102.0,102.5,103.2,103.5,103.8,104.3,104.8,105.5,106.2
geoId-VNM,2007,100.49,101.56,101.7,102.14,102.8,103.19,103.69,103.99,104.25,104.46,104.67,105.15
geoId-VNM,2008,100.85,101.59,103.12,104.1,105.07,106.41,108.04,109.24,110.45,111.26,112.0,112.68
geoId-VNM,2009,100.61,101.31,101.66,101.94,102.46,103.14,103.52,103.83,104.22,104.45,104.67,104.94
geoId-VNM,2010,100.58,101.52,101.91,102.37,102.77,103.26,103.67,104.06,104.41,104.91,105.69,106.6
geoId-VNM,2011,100.77,101.41,102.65,104.07,105.08,105.83,106.48,107.02,107.57,108.35,109.02,109.76
geoId-VNM,2012,100.96,101.37,101.93,102.47,103.06,103.53,103.94,104.31,104.63,104.95,105.53,106.16
geoId-VNM,2013,100.54,101.14,101.38,101.76,102.13,102.46,102.73,102.96,103.19,103.44,103.69,103.95
geoId-VNM,2014,100.39,100.61,100.77,101.01,101.27,101.47,101.6,101.69,101.91,102.13,102.29,102.48
geoId-VNM,2015,100.18,100.49,100.58,100.74,100.87,100.99,101.14,101.25,101.32,101.44,101.63,101.53
geoId-VNM,2016,100.16,100.35,100.34,100.44,100.53,100.58,100.65,100.7,100.8,100.84,100.94,101.02
geoId-VNM,2017,100.2,100.24,100.3,100.4,100.5,100.58,100.68,100.7,100.77,100.87,100.96,101.08
geoId-VNM,2018,100.16,100.43,100.45,100.54,100.64,100.67,100.77,100.87,101.0,101.11,101.2,101.36
geoId-VNM,2019,100.16,100.42,100.38,100.49,100.61,100.75,100.83,100.88,101.01,101.1,101.2,101.34
geoId-VNM,2020,100.27,100.35,100.44,100.5,100.56,100.63,100.7,100.7,100.64,100.64,100.67,100.67
geoId-VNM,2021,100.08,100.28,100.23,100.34,100.44,100.54,100.6,100.6,100.68,100.75,100.94,101.12
geoId-VNM,2022,100.18,100.37,100.56,100.87,101.09,101.4,101.73,101.94,102.11,102.23,102.43,102.66
