dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,105.82,106.83,106.78,106.93,107.01,106.86,106.92,106.91,106.56,106.7,107.32,108.38
geoId-VNM,2011,108.99,108.98,109.9,111.31,112.25,112.57,113.01,113.33,113.98,114.24,113.96,112.9
geoId-VNM,2012,113.07,112.15,111.49,110.32,109.68,109.68,109.37,109.13,108.63,108.55,108.74,109.08
geoId-VNM,2013,108.36,108.93,108.68,108.56,108.33,108.11,107.88,107.74,107.56,107.35,106.84,106.2
geoId-VNM,2014,105.77,104.86,104.73,104.53,104.36,104.15,104.1,103.98,104.01,103.84,103.83,103.77
geoId-VNM,2015,103.38,103.63,103.53,103.41,103.35,103.3,103.35,103.31,103.19,103.2,103.0,102.81
geoId-VNM,2016,102.66,102.66,102.53,102.44,102.31,102.2,101.98,101.84,101.76,101.61,101.71,101.64
geoId-VNM,2017,101.51,101.0,101.05,101.03,101.06,101.05,101.06,101.02,100.93,101.05,100.96,101.14
geoId-VNM,2018,101.24,101.49,101.44,101.41,101.43,101.44,101.52,101.53,101.58,101.56,101.68,101.68
geoId-VNM,2019,101.73,101.67,101.67,101.74,101.79,101.88,101.86,101.85,101.82,101.73,101.59,101.49
geoId-VNM,2020,101.43,101.17,101.19,100.95,100.82,100.68,100.64,100.52,100.53,100.53,100.55,100.37
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
