dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,101.1,105.8,105.1,105.9,107.3,108.8,108.9,108.9,109.0,108.6,108.1,107.9
geoId-VNM,2003,101.3,105.8,103.3,103.1,103.0,102.9,102.6,102.2,102.0,101.7,102.0,102.9
geoId-VNM,2004,101.6,108.5,109.9,110.6,112.6,114.6,115.4,116.3,116.8,116.6,116.3,117.1
geoId-VNM,2005,101.9,106.3,106.3,106.8,107.7,108.7,108.9,109.3,109.7,110.0,110.1,112.0
geoId-VNM,2006,101.4,105.2,104.0,104.2,104.3,104.7,105.2,105.3,104.6,104.9,105.3,105.5
geoId-VNM,2007,100.87,104.73,104.09,104.8,105.8,107.32,109.78,110.79,112.18,113.52,115.73,121.16
geoId-VNM,2008,103.75,111.56,113.08,115.59,118.23,121.83,123.45,124.11,124.43,124.44,125.57,126.53
geoId-VNM,2009,100.55,102.28,100.69,101.16,101.52,102.2,102.15,102.06,102.23,102.73,103.37,104.29
geoId-VNM,2010,101.65,105.17,106.74,106.18,106.27,107.03,107.56,107.67,108.09,109.41,112.99,116.69
geoId-VNM,2011,102.74,107.39,109.08,115.2,119.27,122.21,126.12,128.08,127.72,127.09,126.76,127.38
geoId-VNM,2012,101.41,104.18,102.88,101.98,101.72,101.4,100.94,100.67,100.6,100.88,100.67,100.95
geoId-VNM,2013,101.96,105.02,104.02,102.73,102.27,102.24,102.42,103.06,103.95,105.04,105.62,106.02
geoId-VNM,2014,100.75,101.92,100.35,100.62,100.99,101.54,102.12,102.67,102.88,102.89,102.79,102.84
geoId-VNM,2015,100.42,101.17,101.49,100.94,100.65,100.75,100.99,101.15,101.01,101.35,101.34,101.47
geoId-VNM,2016,100.3,102.76,102.08,101.8,102.19,102.56,102.55,102.36,102.46,102.73,103.46,103.34
geoId-VNM,2017,99.41,99.13,97.92,96.83,94.64,93.83,94.65,96.2,96.26,96.62,96.56,96.08
geoId-VNM,2018,100.56,102.27,101.2,100.87,102.08,103.86,104.77,105.94,106.48,106.67,106.35,106.33
geoId-VNM,2019,100.85,103.0,100.97,100.09,100.19,100.42,100.82,101.12,101.89,103.49,107.74,112.49
geoId-VNM,2020,102.6,102.53,101.62,102.25,102.68,103.42,103.11,103.19,102.59,102.3,102.24,101.45
geoId-VNM,2021,100.81,102.64,100.38,100.13,100.08,99.9,100.85,101.83,101.53,99.45,99.05,99.19
geoId-VNM,2022,99.91,101.6,101.11,100.79,101.01,102.0,103.63,105.01,105.18,105.28,104.96,105.01
