dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,104.0,102.7,98.9,98.2,99.5,97.5,98.6,99.9,100.6,100.2,101.1,101.6
geoId-VNM,2003,101.6,101.2,99.1,99.4,99.1,98.4,98.8,100.1,100.0,100.5,102.8,102.0
geoId-VNM,2004,102.1,101.5,102.8,101.8,102.3,100.5,99.7,100.8,100.4,99.8,100.7,101.1
geoId-VNM,2005,101.4,102.5,101.0,100.5,100.2,99.5,99.4,100.0,100.2,100.6,101.1,101.2
geoId-VNM,2006,102.1,101.7,100.2,100.3,100.3,100.2,100.4,100.3,100.4,101.3,103.8,102.4
geoId-VNM,2007,101.8,102.76,99.95,99.91,100.62,100.43,100.54,100.86,100.85,101.11,102.66,102.98
geoId-VNM,2008,103.35,103.25,110.5,106.11,122.19,104.29,99.63,98.9,98.25,98.09,96.9,97.64
geoId-VNM,2009,99.96,100.82,101.27,100.03,99.63,98.9,99.08,99.58,99.15,100.03,102.22,106.88
geoId-VNM,2010,104.41,102.94,99.1,98.09,98.71,99.17,99.03,100.67,102.32,101.89,106.02,104.67
geoId-VNM,2011,102.28,101.51,102.18,102.47,101.77,100.33,99.12,100.46,101.53,101.27,103.25,101.4
geoId-VNM,2012,99.86,99.59,98.79,98.31,99.46,99.22,98.51,99.57,100.35,100.37,100.05,100.13
geoId-VNM,2013,100.15,100.37,99.41,99.14,99.31,99.38,99.7,100.7,100.41,100.91,101.29,101.22
geoId-VNM,2014,101.33,100.68,99.87,99.74,99.49,99.57,99.37,100.45,100.35,100.2,100.12,100.14
geoId-VNM,2015,100.03,100.13,99.76,99.69,99.54,99.38,99.62,99.84,99.76,99.83,100.31,100.45
geoId-VNM,2016,100.48,100.66,100.23,101.11,100.68,99.76,99.36,99.65,100.16,100.03,100.22,100.22
geoId-VNM,2017,100.47,100.25,100.16,100.16,99.94,99.49,99.92,100.31,100.14,100.57,101.12,100.56
geoId-VNM,2018,100.47,101.44,100.35,100.12,100.03,99.55,99.08,100.1,100.28,100.15,100.27,100.17
geoId-VNM,2019,100.52,100.53,99.45,99.61,99.63,99.66,100.05,100.31,100.3,100.05,100.26,100.45
geoId-VNM,2020,100.79,100.32,101.09,102.09,99.92,99.6,99.8,100.6,100.53,100.16,100.59,100.43
geoId-VNM,2021,100.83,101.77,100.01,99.99,99.91,99.72,100.36,100.69,100.12,99.83,100.22,100.36
geoId-VNM,2022,100.08,100.35,100.17,100.21,100.28,100.16,100.31,100.19,99.92,100.13,100.59,100.48
