dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,107.59,109.09,110.73,109.56,109.23,109.33,109.61,110.0,110.81,111.91,114.78,116.18
geoId-VNM,2011,116.59,117.23,118.33,124.44,128.34,130.15,132.63,134.06,133.38,131.72,128.04,124.8
geoId-VNM,2012,123.02,121.19,117.85,111.87,108.45,106.3,103.6,102.04,101.84,102.07,101.42,101.01
geoId-VNM,2013,101.34,101.51,101.81,101.7,101.49,101.64,102.22,102.96,103.55,104.13,104.86,105.08
geoId-VNM,2014,104.49,103.34,102.89,103.99,104.53,104.91,105.08,104.99,104.54,103.7,103.03,102.61
geoId-VNM,2015,102.11,101.48,102.83,102.25,101.85,101.54,101.37,101.02,100.67,100.81,100.89,100.97
geoId-VNM,2016,100.94,102.39,101.53,101.96,102.55,102.79,102.64,102.39,102.62,102.61,103.06,102.87
geoId-VNM,2017,102.37,100.5,100.11,99.46,97.68,96.9,97.48,98.64,98.63,98.77,98.4,98.2
geoId-VNM,2018,98.87,100.27,100.52,101.0,103.37,105.1,104.99,104.79,105.17,105.07,104.8,105.09
geoId-VNM,2019,105.32,105.53,104.68,104.28,103.42,102.44,102.34,101.7,101.81,102.65,105.61,109.17
geoId-VNM,2020,110.93,109.32,110.42,111.78,112.11,112.46,111.89,111.75,110.79,109.5,106.63,102.68
geoId-VNM,2021,101.03,102.39,101.33,100.54,100.24,99.67,100.52,101.15,101.3,100.14,99.92,100.51
geoId-VNM,2022,99.86,99.8,101.0,101.08,101.32,102.27,102.98,103.3,103.65,105.13,105.23,105.21
