dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,153.89,142.58,136.86,133.89,135.62,132.43,135.86,132.35,134.35,138.01,136.24,130.0
geoId-VNM,2011,133.87,136.17,141.27,140.7,140.04,136.33,134.62,147.63,161.26,143.18,132.11,124.09
geoId-VNM,2012,119.66,124.01,117.58,115.89,111.78,109.12,107.84,99.62,92.67,101.24,98.97,100.4
geoId-VNM,2013,102.37,98.8,96.53,96.59,94.17,92.17,86.65,86.57,83.87,77.85,78.6,75.64
geoId-VNM,2014,75.57,77.23,82.03,83.31,86.6,90.21,97.58,96.94,93.49,93.54,93.11,96.27
geoId-VNM,2015,98.59,99.4,94.64,94.64,95.2,95.23,92.77,89.44,94.17,96.85,97.72,95.03
geoId-VNM,2016,94.28,94.58,100.83,102.2,103.97,104.04,110.99,117.5,113.08,111.22,110.65,110.98
geoId-VNM,2017,111.04,110.42,105.0,105.74,104.12,104.39,98.2,97.65,100.55,101.39,102.22,104.74
geoId-VNM,2018,106.7,106.05,105.97,105.41,104.72,103.6,102.88,100.33,96.84,97.81,99.07,99.59
geoId-VNM,2019,100.13,99.84,99.7,98.73,98.98,101.74,108.32,114.93,119.83,119.01,117.12,116.23
geoId-VNM,2020,118.64,120.06,125.31,126.81,130.52,130.18,128.57,135.02,130.33,129.63,131.57,130.95
geoId-VNM,2021,128.19,125.08,116.84,113.84,113.02,112.37,107.07,96.98,97.3,98.18,99.91,101.0
geoId-VNM,2022,99.93,101.53,109.36,112.28,109.86,107.4,106.31,105.87,104.06,104.8,103.95,104.16
