dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,100.2,101.4,98.8,99.5,99.8,100.0,99.0,100.4,100.0,99.8,100.2,99.9
geoId-VNM,2003,100.3,101.3,98.6,99.9,99.7,99.8,99.6,99.9,99.8,100.0,99.6,100.2
geoId-VNM,2004,100.4,101.6,100.8,100.5,100.0,99.6,99.8,99.9,99.9,99.6,100.0,100.1
geoId-VNM,2005,100.3,101.7,99.4,99.9,100.2,100.5,100.0,100.1,100.0,100.1,100.3,100.2
geoId-VNM,2006,100.2,101.9,99.3,99.8,100.9,100.0,100.0,100.3,100.4,100.2,100.4,100.2
geoId-VNM,2007,100.12,102.11,98.84,99.97,100.43,101.25,100.27,100.16,99.11,99.27,99.9,100.29
geoId-VNM,2008,100.06,102.34,101.29,100.53,100.57,100.4,100.85,101.08,101.45,100.38,100.28,100.66
geoId-VNM,2009,101.66,99.93,99.88,99.36,100.03,100.3,100.45,100.12,100.25,100.02,100.03,100.07
geoId-VNM,2010,100.33,101.22,100.5,100.25,100.37,100.36,100.25,100.14,100.48,100.16,100.56,100.51
geoId-VNM,2011,100.58,101.24,100.98,101.31,100.88,100.77,100.44,100.34,100.62,100.3,99.98,100.35
geoId-VNM,2012,100.93,100.52,100.36,100.27,100.63,99.73,100.22,100.95,100.33,100.24,100.35,100.34
geoId-VNM,2013,100.33,100.4,100.25,100.33,100.23,100.4,100.31,100.27,100.09,100.14,100.1,100.13
geoId-VNM,2014,100.21,100.61,100.1,100.02,100.26,100.27,100.04,100.06,100.09,100.02,100.1,100.07
geoId-VNM,2015,100.13,100.05,100.18,100.32,100.39,100.26,100.16,100.04,100.03,99.94,100.07,99.95
geoId-VNM,2016,100.16,100.71,99.9,99.99,100.34,100.18,100.01,99.88,100.18,99.98,100.03,99.98
geoId-VNM,2017,100.17,100.15,100.04,100.1,100.13,100.19,99.97,100.01,99.92,100.06,99.99,100.03
geoId-VNM,2018,100.07,100.72,99.91,100.08,100.08,100.13,100.26,100.19,100.09,100.09,100.05,100.02
geoId-VNM,2019,100.33,100.66,99.91,100.1,100.1,100.2,100.15,99.94,100.06,100.12,100.03,100.09
geoId-VNM,2020,100.25,99.57,98.6,99.6,99.98,99.99,100.3,99.8,99.8,99.82,99.94,99.9
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
