dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,96.26,96.12,95.92,95.91,94.05,98.25,98.54,94.1,94.06,93.99,94.01,94.1
geoId-VNM,2011,94.14,95.31,95.52,95.59,94.03,93.57,93.61,98.02,98.02,97.92,97.93,97.87
geoId-VNM,2012,97.92,97.77,97.73,97.7,99.37,99.36,99.3,99.35,99.43,99.58,99.58,99.65
geoId-VNM,2013,99.61,99.74,99.71,99.57,99.5,99.39,99.47,99.46,99.44,99.43,99.42,99.43
geoId-VNM,2014,99.48,99.49,99.51,99.52,99.56,99.56,99.55,99.55,99.56,99.56,99.57,100.38
geoId-VNM,2015,100.31,100.31,100.32,100.37,100.41,100.51,100.5,100.5,100.43,100.43,100.34,99.52
geoId-VNM,2016,99.53,99.39,99.31,99.4,99.42,99.39,99.31,99.3,99.3,99.21,99.29,99.28
geoId-VNM,2017,99.2,99.29,99.42,99.38,99.31,99.36,99.4,99.39,99.42,99.54,99.54,99.54
geoId-VNM,2018,99.59,99.59,99.52,99.47,99.38,99.29,99.3,99.27,99.22,99.17,99.15,99.2
geoId-VNM,2019,99.2,99.24,99.21,99.22,99.31,99.31,99.36,99.39,99.47,99.45,99.42,99.3
geoId-VNM,2020,99.36,99.34,99.35,99.4,99.43,99.49,99.47,99.46,99.45,99.47,99.39,99.48
geoId-VNM,2021,99.42,99.5,99.43,99.26,99.12,99.18,99.15,99.15,99.11,99.1,99.29,99.28
geoId-VNM,2022,99.35,99.27,99.42,99.5,99.66,99.5,99.8,99.84,99.85,99.83,99.78,99.75
