dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,108.96,108.34,109.52,107.86,105.86,105.53,105.04,105.41,107.35,108.37,110.03,109.68
geoId-VNM,2011,109.45,110.11,112.05,110.55,110.16,109.49,108.88,108.64,107.78,107.55,105.14,102.24
geoId-VNM,2012,102.62,101.24,97.62,99.15,100.19,101.18,101.31,100.89,100.15,99.82,99.03,99.04
geoId-VNM,2013,98.91,99.35,100.39,100.47,100.59,100.68,101.42,101.63,101.3,101.06,101.07,101.09
geoId-VNM,2014,101.11,101.05,100.66,100.59,100.37,100.57,100.25,99.93,100.04,100.4,100.73,101.03
geoId-VNM,2015,101.33,101.15,101.29,102.11,102.51,102.65,102.37,102.96,105.9,105.54,104.98,105.34
geoId-VNM,2016,105.28,104.82,104.26,103.55,103.07,102.52,102.21,101.84,99.23,99.46,99.98,100.8
geoId-VNM,2017,100.55,101.12,101.92,101.58,101.66,101.5,101.8,101.83,101.78,101.67,101.45,99.95
geoId-VNM,2018,99.98,100.04,99.91,100.29,100.26,100.52,101.28,102.44,102.57,102.82,102.79,102.69
geoId-VNM,2019,102.32,102.24,102.02,101.89,102.41,102.52,101.15,99.87,99.61,99.44,99.34,99.23
geoId-VNM,2020,99.65,100.06,100.17,101.15,100.29,99.41,99.68,99.77,99.83,99.87,99.95,99.91
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
