dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,101.5,103.0,104.9,108.8,111.6,116.0,115.8,115.6,116.1,118.2,118.0,119.4
geoId-VNM,2003,105.5,110.6,109.3,105.9,106.1,110.1,109.9,110.0,113.2,117.0,120.5,126.6
geoId-VNM,2004,103.1,102.2,102.4,104.8,100.5,99.1,99.6,100.0,101.5,103.2,106.5,111.7
geoId-VNM,2005,98.0,96.2,98.1,97.3,97.1,95.6,96.7,97.0,98.6,102.6,103.5,111.3
geoId-VNM,2006,104.0,109.6,111.6,116.9,137.6,129.9,125.8,128.6,125.0,121.1,123.2,127.2
geoId-VNM,2007,98.87,100.93,103.54,104.68,107.12,105.01,104.39,105.94,107.99,114.51,124.69,127.35
geoId-VNM,2008,105.07,111.28,118.46,115.92,111.41,116.27,119.99,116.44,109.03,112.53,106.01,106.83
geoId-VNM,2009,103.64,109.59,115.55,117.17,117.88,124.45,123.91,126.08,128.65,135.1,148.72,164.32
geoId-VNM,2010,97.06,95.09,96.24,95.47,97.29,100.3,102.46,101.56,105.19,113.47,123.31,130.0
geoId-VNM,2011,99.95,99.6,104.58,103.33,104.8,105.18,106.1,115.33,130.48,124.97,125.31,124.09
geoId-VNM,2012,96.38,99.53,99.09,96.5,94.4,92.49,92.2,92.58,97.44,101.96,99.94,100.4
geoId-VNM,2013,98.27,97.95,95.27,92.83,88.54,84.9,79.57,79.83,81.4,79.06,78.24,75.64
geoId-VNM,2014,98.18,100.02,103.33,102.25,101.38,101.26,102.66,102.31,100.61,97.77,96.32,96.27
geoId-VNM,2015,100.55,103.26,101.58,100.53,100.25,100.17,98.93,95.05,98.42,98.37,97.77,95.03
geoId-VNM,2016,99.77,102.78,107.79,108.12,109.69,109.67,115.55,117.54,117.11,115.13,113.85,110.98
geoId-VNM,2017,99.82,102.26,101.98,103.01,102.91,103.16,102.25,103.42,106.12,105.18,104.86,104.74
geoId-VNM,2018,101.69,103.55,103.18,103.67,102.89,102.08,100.48,99.07,98.11,98.22,99.19,99.59
geoId-VNM,2019,102.25,103.81,103.3,102.78,102.27,104.29,109.29,114.33,118.05,117.38,116.65,116.23
geoId-VNM,2020,104.37,107.23,111.37,112.14,114.84,116.81,120.89,132.81,132.37,130.91,132.04,130.95
geoId-VNM,2021,102.17,102.42,99.37,97.49,99.12,100.23,98.84,98.35,98.36,98.15,100.75,101.0
geoId-VNM,2022,101.08,102.95,107.6,108.38,107.81,106.59,104.04,103.1,101.34,101.84,103.69,104.16
