dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.2,101.6,100.4,99.9,99.7,99.7,98.7,99.1,99.1,98.9,99.1,99.0
geoId-VNM,2003,100.3,101.6,100.2,100.1,99.8,99.6,99.2,99.1,98.9,98.9,98.5,98.7
geoId-VNM,2004,100.4,102.0,102.8,103.3,103.3,102.9,102.7,102.6,102.5,102.1,102.1,102.2
geoId-VNM,2005,100.3,102.0,101.4,101.3,101.5,102.0,102.0,102.1,102.1,102.2,102.5,102.7
geoId-VNM,2006,100.2,102.1,101.4,101.2,102.1,102.1,102.0,102.4,102.8,103.0,103.4,103.5
geoId-VNM,2007,100.12,102.23,101.05,101.02,101.45,102.72,103.0,103.16,102.24,101.5,101.39,101.69
geoId-VNM,2008,100.06,102.4,103.72,104.27,104.87,105.29,106.18,107.33,108.88,109.3,109.6,110.33
geoId-VNM,2009,101.66,101.59,101.47,100.82,100.85,101.15,101.61,101.73,101.98,102.0,102.03,102.1
geoId-VNM,2010,100.33,101.55,102.06,102.32,102.7,103.07,103.32,103.47,103.96,104.13,104.71,105.25
geoId-VNM,2011,100.58,101.83,102.83,104.17,105.09,105.9,106.36,106.73,107.39,107.71,107.69,108.06
geoId-VNM,2012,100.93,101.45,101.82,102.09,102.74,102.46,102.69,103.66,104.0,104.25,104.62,104.97
geoId-VNM,2013,100.33,100.73,100.98,101.32,101.55,101.96,102.27,102.55,102.64,102.78,102.89,103.02
geoId-VNM,2014,100.21,100.82,100.92,100.94,101.2,101.48,101.52,101.58,101.67,101.69,101.79,101.86
geoId-VNM,2015,100.13,100.18,100.36,100.68,101.07,101.34,101.5,101.54,101.57,101.51,101.58,101.52
geoId-VNM,2016,100.16,100.88,100.78,100.78,101.12,101.3,101.31,101.19,101.37,101.35,101.37,101.35
geoId-VNM,2017,100.17,100.31,100.35,100.45,100.59,100.77,100.74,100.75,100.68,100.74,100.73,100.76
geoId-VNM,2018,100.07,100.79,100.71,100.79,100.86,101.0,101.26,101.46,101.55,101.65,101.7,101.72
geoId-VNM,2019,100.33,100.99,100.9,101.0,101.11,101.31,101.46,101.4,101.46,101.58,101.61,101.7
geoId-VNM,2020,100.25,99.83,98.43,98.03,98.01,98.0,98.29,98.1,97.9,97.72,97.67,97.57
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
