dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2010,,,,,,,,,,,,
geoId-VNM,2011,,,,,,,,,,,,
geoId-VNM,2012,,,,,,,,,,,,
geoId-VNM,2013,,,,,,,,,,,,
geoId-VNM,2014,,,,,,,,,,,,
geoId-VNM,2015,,,,,,,,,,,,
geoId-VNM,2016,,,,,,,,,,,,
geoId-VNM,2017,,,,,,,,,,,,
geoId-VNM,2018,,,,,,,,,,,,
geoId-VNM,2019,,,,,,,,,,,,
geoId-VNM,2020,,,,,,,,,,,,
geoId-VNM,2021,99.73,99.24,99.3,98.65,98.85,99.13,99.45,99.08,98.65,98.52,98.37,99.42
geoId-VNM,2022,99.27,99.16,99.57,99.36,100.21,101.23,101.77,102.41,103.45,105.42,108.71,105.0
