dia phuong,Năm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
geoId-VNM,2002,100.1,100.3,100.5,100.8,101.0,101.3,101.4,101.6,101.7,101.9,102.0,102.1
geoId-VNM,2003,100.2,100.4,100.4,100.5,100.5,100.6,100.8,100.9,101.0,101.2,101.7,120.2
geoId-VNM,2004,99.7,100.1,100.6,100.5,100.2,100.2,100.1,100.2,100.3,100.3,100.3,100.4
geoId-VNM,2005,100.0,100.1,100.1,100.2,100.3,100.3,100.5,100.6,100.6,100.7,100.8,100.9
geoId-VNM,2006,100.0,100.1,100.0,100.1,100.9,100.6,100.4,100.5,100.6,100.8,101.0,101.0
geoId-VNM,2007,99.88,99.67,99.57,99.69,99.84,100.1,100.32,100.48,101.05,100.45,100.17,99.97
geoId-VNM,2008,99.74,99.62,98.12,99.3,100.32,105.02,106.94,103.78,103.0,102.95,105.11,106.31
geoId-VNM,2009,101.48,102.4,102.6,103.88,105.18,105.33,106.22,106.36,106.12,105.74,107.28,110.7
geoId-VNM,2010,99.89,100.22,101.5,101.22,100.58,100.41,100.79,101.27,102.91,103.52,106.63,109.68
geoId-VNM,2011,99.68,100.62,103.7,102.03,101.03,100.24,100.06,100.32,101.12,101.52,102.22,102.24
geoId-VNM,2012,100.05,99.64,99.01,98.94,99.0,99.2,99.15,99.0,99.06,99.12,99.01,99.04
geoId-VNM,2013,99.92,99.95,100.36,100.37,100.55,100.84,101.53,101.59,101.32,101.14,101.04,101.09
geoId-VNM,2014,99.94,99.91,99.93,99.87,99.83,100.32,100.68,100.42,100.27,100.45,100.68,101.03
geoId-VNM,2015,100.23,100.03,100.19,100.93,101.29,101.92,102.01,102.33,105.1,104.94,104.61,105.34
geoId-VNM,2016,100.18,99.54,99.16,99.21,99.11,99.2,98.98,98.93,99.01,99.08,99.29,100.8
geoId-VNM,2017,99.93,99.85,100.26,99.98,99.95,99.89,99.97,99.94,99.97,99.93,99.93,99.95
geoId-VNM,2018,99.96,99.95,100.22,100.32,100.26,100.46,101.3,102.43,102.59,102.8,102.77,102.69
geoId-VNM,2019,99.6,99.51,99.56,99.54,99.99,100.29,99.78,99.62,99.51,99.54,99.42,99.23
geoId-VNM,2020,100.02,100.34,100.51,101.47,101.06,100.47,100.24,100.16,100.12,100.19,100.14,99.91
geoId-VNM,2021,,,,,,,,,,,,
geoId-VNM,2022,,,,,,,,,,,,
