dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,,,,111.18,111.05,104.23,106.57,102.47,100.08,100.91,106.07,119.61,95.47,99.75,101.41
