dia phuong,2005,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,47.28,87.49,100.0,133.5,127.48,126.72,131.6,132.23,134.91,131.6,133.22,134.79,151.82,155.53,159.33
