Địa phương,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,Sơ bộ 2022
geoId-NDH,5.2,5.6,6.6,8.2,8.2,8.1,8.4,9.0,6.1,7.3,8.5,9.0,8.4,7.8,7.5,7.3,,6.5
geoId-NAN,6.7,5.2,6.0,7.0,7.0,7.8,6.5,7.1,8.0,7.7,8.1,6.9,5.9,7.0,6.71,8.6,,7.4
geoId-NBH,6.2,6.6,6.3,8.6,8.6,8.4,8.6,8.8,7.5,7.1,8.0,9.1,9.8,7.1,6.82,6.2,,6.1
geoId-NTN,5.9,5.0,5.8,6.2,6.2,6.6,5.9,5.6,7.5,6.4,6.1,7.6,5.8,6.4,6.15,4.3,,5.6
geoId-PTO,5.6,6.8,5.5,6.5,6.5,7.1,8.0,7.9,7.0,9.0,9.0,6.4,6.1,7.4,7.11,8.1,,6.6
geoId-PYN,5.6,6.7,7.5,5.7,5.4,6.0,6.0,6.7,6.6,6.9,7.1,6.8,9.1,6.5,6.29,6.9,,6.3
geoId-QBH,5.6,5.7,5.5,7.3,7.3,8.1,7.5,7.3,8.1,5.2,7.7,6.8,8.9,6.5,6.28,6.9,,7.2
geoId-QNM,6.6,6.6,5.4,7.1,7.1,7.9,6.9,8.2,7.6,6.4,6.5,8.7,11.0,7.1,6.83,4.9,,6.4
geoId-QNI,5.7,6.5,5.2,6.2,6.2,7.1,6.7,6.6,6.2,7.0,5.7,6.6,5.0,6.4,6.12,7.4,,5.1
geoId-QNH,5.0,5.1,5.0,6.2,6.2,7.0,6.9,7.2,5.6,8.2,6.0,4.5,6.5,5.5,5.27,4.0,,4.5
geoId-QTI,7.5,7.9,7.9,7.7,7.7,8.3,7.9,7.2,7.7,6.7,7.3,8.0,8.7,7.2,6.94,7.4,,7.4
geoId-STG,5.6,4.8,4.3,6.2,6.2,6.0,6.4,6.5,7.1,4.8,5.2,5.7,5.4,6.0,5.79,5.7,,7.2
geoId-SLA,6.4,6.2,6.1,6.0,5.8,6.1,6.4,6.5,6.3,6.4,7.0,5.9,6.9,6.7,6.45,6.4,,4.9
geoId-THA,5.9,6.4,5.7,7.7,7.7,8.4,7.0,6.8,7.9,9.1,9.6,7.7,8.5,7.8,7.45,6.7,,7.0
geoId-TBH,5.7,5.9,4.9,8.9,8.8,8.9,9.3,9.4,8.8,10.0,8.8,8.5,7.4,7.5,7.24,6.0,,8.4
geoId-TNN,5.0,6.2,5.8,6.9,6.8,6.5,7.0,7.2,6.3,8.3,7.2,4.7,6.4,6.9,6.58,5.2,,6.0
geoId-TTH,5.2,5.1,6.6,7.1,7.0,7.7,7.2,7.2,7.4,5.8,5.6,7.5,8.3,6.7,6.41,7.5,,6.0
geoId-TGG,5.2,5.1,5.6,7.4,7.4,7.2,6.6,6.9,8.3,6.1,8.6,9.2,11.2,7.8,7.51,7.3,,7.8
geoId-HCM,4.0,4.0,5.0,6.1,6.1,5.6,6.3,6.1,5.6,4.8,4.8,5.4,3.9,4.7,4.48,5.1,,5.6
geoId-NT,5.9,6.1,5.6,6.6,6.6,7.0,7.5,7.6,7.0,7.9,7.6,7.4,6.9,7.2,6.9,6.5,,6.0
geoId-TVH,4.9,4.4,4.8,7.4,7.3,7.1,7.2,7.7,6.6,7.4,7.7,8.0,6.4,7.4,7.11,8.8,,7.6
geoId-TQG,6.0,6.6,5.2,6.2,6.2,7.0,8.0,8.0,7.6,8.0,6.9,7.3,7.6,7.1,6.81,6.2,,5.4
geoId-TNN,5.7,4.5,5.4,6.1,6.1,5.7,6.2,6.3,5.7,5.4,5.2,5.7,5.4,5.2,5.0,5.1,,5.8
geoId-TNH,4.9,5.5,4.6,7.5,7.5,7.2,7.4,7.4,7.3,7.8,8.5,5.8,7.4,7.4,7.06,8.5,,5.8
geoId-VLG,5.0,4.9,4.8,6.9,6.9,7.0,7.1,7.5,8.0,6.6,7.7,8.1,8.8,7.4,7.1,8.9,,7.4
geoId-VPC,4.5,4.9,4.5,7.3,7.2,7.1,7.3,7.0,6.7,6.4,5.8,7.2,8.7,5.9,5.68,6.8,,5.4
geoId-YBI,6.4,7.5,4.8,6.3,6.3,6.9,7.8,7.6,5.2,7.9,7.2,8.6,8.2,7.0,6.7,8.0,,8.1
geoId-DBN,7.1,6.1,6.1,7.4,7.4,7.3,7.8,8.1,7.4,6.1,7.0,6.7,4.4,7.0,6.76,7.1,,6.4
geoId-DNG,4.1,4.6,5.2,6.7,6.7,6.7,6.1,6.4,5.0,6.5,6.5,6.3,8.3,5.0,4.84,4.5,,4.6
geoId-ST,4.4,4.3,4.6,6.3,6.3,5.9,6.5,6.4,5.4,5.1,5.0,5.4,4.6,4.7,4.5,5.3,,5.3
geoId-DLK,5.6,5.4,5.4,5.9,5.8,5.5,6.1,6.2,5.3,5.0,4.2,5.7,7.4,5.1,4.88,5.2,,6.0
geoId-DNG1,5.9,5.9,5.6,5.5,5.4,5.1,5.9,5.8,5.6,3.9,4.2,5.5,6.2,4.9,4.71,5.4,,4.6
geoId-MRD,5.1,4.7,4.9,6.8,6.8,6.6,6.8,7.0,7.3,7.0,7.0,7.9,7.6,7.0,6.75,6.9,,7.1
geoId-RRD,5.3,6.0,5.4,7.2,7.1,7.5,7.7,7.8,7.1,7.4,7.4,6.8,7.3,6.4,6.1,6.6,,6.0
geoId-DNI,4.4,4.3,4.4,6.6,6.5,6.0,6.6,6.7,5.3,5.6,4.8,6.2,5.5,4.8,4.66,6.4,,5.5
geoId-DTP,5.4,5.1,5.9,7.6,7.6,7.3,6.4,6.5,7.1,7.3,6.3,9.5,7.7,6.9,6.66,7.6,,7.6
